Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,56,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1302318.5,324.59985,102146.56,36312,
1,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1106103.9,2.5196056,59422.086,35093,
2,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1129377.4,2.2895546,52282.07,33679,
3,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1322376.1,3.3216705,72027.34,41070,
4,44,0.2,0.1,0.3,0.2,Flat,0.05,0.15,646280.9,151.27069,49742.797,21004,
5,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,877743.56,114.12085,17673.633,35281,
6,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1049148.2,2.279644,52839.28,34753,
7,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,763186.4,1.7869995,38543.03,33165,
8,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,892278.75,1.6116188,39342.54,29509,
9,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,847924.1,89.13963,16221.739,27858,
10,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,976196.1,2.5595856,51454.586,42999,
11,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,847406.5,168.34164,40698.93,32404,
12,64,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1075398.8,82.81302,30755.758,46249,
13,47,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1000554.0,2.6495085,60819.61,31401,
14,40,0.2,0.1,0.3,0.2,Fair,0.05,0.15,702903.4,1.4845612,33915.49,24534,
15,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,854061.44,95.94629,11956.714,35717,
16,59,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1069463.6,2.2206266,53837.945,38660,
17,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1270457.2,8.977787,52659.387,34592,
18,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,997891.25,2.0186644,44997.75,34390,
19,57,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1609511.8,448.633,142727.03,42982,
20,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1185300.9,2.6436033,51668.0,40591,
21,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,735454.75,1.1980019,25039.723,24976,
22,42,0.2,0.1,0.3,0.2,Fair,0.05,0.15,972572.06,2.57898,61961.9,32078,
23,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,787995.94,140.58337,40256.477,28633,
24,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,855585.75,1.6481047,36560.742,28420,
25,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1231525.1,2.5068865,63999.633,34585,
26,40,0.2,0.1,0.3,0.2,Fair,0.05,0.15,755692.7,1.4036186,31841.746,25962,
27,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,939030.56,187.58228,40208.79,36359,
28,41,0.2,0.1,0.3,0.2,Flat,0.05,0.15,816324.3,192.42361,56604.695,30227,
29,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,989422.75,1.6727095,39066.43,36501,
30,42,0.2,0.1,0.3,0.2,Fair,0.05,0.15,670237.25,1.0170517,20805.008,24099,
31,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1030599.0,232.01562,66793.32,38035,
32,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,950238.2,153.34344,28527.305,37680,
33,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,974855.3,1.4929006,27932.59,36312,
34,45,0.2,0.1,0.3,0.2,Flat,0.05,0.15,895201.0,210.27686,63325.918,30135,
35,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,775889.4,56.288826,17100.703,36616,
36,66,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1741992.8,4.491247,102551.516,49617,
37,55,0.2,0.1,0.3,0.2,Fair,0.05,0.15,892411.6,23.659176,30489.25,33383,
38,39,0.2,0.1,0.3,0.2,Flat,0.05,0.15,916499.06,149.82285,31321.875,28685,
39,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1032202.3,202.92014,59558.543,31795,
40,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1320942.0,3.4498787,74407.305,39459,
41,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1109750.4,25.518646,38284.105,37375,
42,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1286970.2,3.0169377,76261.34,36487,
43,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1007832.0,261.11206,71994.02,38392,
44,55,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1082431.5,9.672558,44147.72,37077,
45,38,0.2,0.1,0.3,0.2,Flat,0.05,0.15,856523.4,205.44092,65890.81,24036,
46,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1085858.2,228.17746,55140.297,33949,
47,36,0.2,0.1,0.3,0.2,Fair,0.05,0.15,495460.47,17.520676,10558.762,20940,
48,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1108823.4,2.1982584,43981.67,33966,
49,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,838181.7,208.95703,51497.297,33433,
50,57,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1287550.4,263.3557,66119.8,40172,
51,58,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1251611.9,338.0055,97991.8,38698,
52,49,0.2,0.1,0.3,0.2,Flat,0.05,0.15,817942.1,154.09357,37217.094,29970,
53,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1034200.3,242.45068,70376.9,33337,
54,56,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1199081.5,2.1788197,41717.52,38332,
55,54,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1500816.0,13.773365,63160.945,42143,
56,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,867225.44,138.49194,24369.61,37338,
