Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,193,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3688846.2,843.3711,173117.2,133187,
1,208,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4486757.0,203.46294,178387.12,145295,
2,195,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3846225.0,820.1,163283.94,135145,"180,"
3,203,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4782592.0,1027.1807,227591.78,137708,"181,"
4,205,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4837181.5,1303.8508,329158.53,149861,"6,"
5,212,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4921890.0,1305.0847,317827.75,133615,
6,204,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4668783.0,177.64893,198121.75,154099,"4,60,"
7,170,0.2,0.1,0.3,0.2,Fair,0.0,0.0,3600405.8,116.69855,147956.12,109725,
8,212,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4464265.0,1007.72595,212118.4,149437,"102,"
9,206,0.2,0.1,0.3,0.2,Fair,0.0,0.0,3886001.8,218.57266,117175.48,127429,
10,210,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3985243.2,881.8187,181764.6,134804,
11,178,0.2,0.1,0.3,0.2,Fair,0.0,0.0,3940837.8,232.5509,139727.72,121625,"142,"
12,215,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4853471.0,231.6516,189254.77,155355,
13,192,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4071303.0,1003.7022,215357.28,142188,"184,"
14,199,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4509237.5,1085.1484,241559.95,135127,"49,"
15,178,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3392198.5,747.5647,148073.64,125322,"112,"
16,201,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4399099.5,177.40039,172718.94,147737,
17,201,0.2,0.1,0.3,0.2,Fair,0.0,0.0,5427148.0,158.60764,255082.36,150607,"178,"
18,228,0.2,0.1,0.3,0.2,Flat,0.0,0.0,5737204.5,1514.0713,393357.12,162883,"54,"
19,191,0.2,0.1,0.3,0.2,Fair,0.0,0.0,3729362.2,261.1178,130157.67,134027,
20,193,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4597004.0,1181.1418,298164.56,135479,"162,"
21,184,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3165114.8,701.11084,139186.33,122053,
22,199,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4417043.5,1014.4839,226960.52,137636,"91,173,96,114,83,44,93,37,115,"
23,215,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4973057.5,150.42792,230781.25,155971,"172,"
24,219,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4567591.0,247.71548,175460.84,141132,
25,181,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3892340.2,894.30896,192220.42,120672,
26,195,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4277292.5,1076.0967,252914.72,132781,"108,"
27,204,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4906036.0,1107.4639,256803.25,143589,
28,180,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3802023.2,877.2672,198317.66,117601,
29,204,0.2,0.1,0.3,0.2,Fair,0.0,0.0,5222214.5,199.61359,221925.02,150497,"154,"
30,219,0.2,0.1,0.3,0.2,Fair,0.0,0.0,4326316.5,160.93054,177384.9,136092,
31,209,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4492822.0,1004.3291,217308.84,138180,
32,212,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4997512.0,1144.9116,253550.92,146208,"177,"
33,206,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4707786.5,1195.845,284243.25,141521,
34,188,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4157836.5,1036.9805,229148.86,133674,"175,"
35,192,0.2,0.1,0.3,0.2,Flat,0.0,0.0,3943009.8,941.7031,196800.77,135169,
36,200,0.2,0.1,0.3,0.2,Flat,0.0,0.0,4855225.5,1269.9182,325281.56,140368,
37,198,0.2,0.1,0.3,0.2,Flat,0.0,0.0,5147773.5,1298.0679,336856.03,148963,"22,91,173,96,114,83,44,93,115,"
38,212,0.2,0.1,0.3,0.2,Flat,0.0,0.0,5100093.0,1199.3081,277559.25,144233,
