Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,203,0.5325504,0.1,0.3,0.2,Flat,0.0,0.0,3389200.8,1425.0117,230263.14,118599,
1,209,0.01645583,0.1,0.3,0.2,Fair,0.0,0.0,3198782.2,66.43637,71502.66,115398,
2,201,0.23407531,0.1,0.3,0.2,Flat,0.0,0.0,3126912.5,748.9643,116801.22,123078,
3,200,0.46883613,0.1,0.3,0.2,Fair,0.0,0.0,2842188.2,552.6218,150351.02,100856,
4,196,0.09473926,0.1,0.3,0.2,Flat,0.0,0.0,2909544.0,493.1441,103495.26,104310,
5,196,0.095198095,0.1,0.3,0.2,Flat,0.0,0.0,3649506.5,608.48206,109806.94,127575,
6,195,0.12333864,0.1,0.3,0.2,Flat,0.0,0.0,3129534.8,626.74426,133470.28,95630,
7,181,0.062239766,0.1,0.3,0.2,Fair,0.0,0.0,2936686.2,37.16263,92441.41,91793,
8,192,0.7392797,0.1,0.3,0.2,Fair,0.0,0.0,2962150.8,950.0251,209849.73,102959,
9,214,0.5504546,0.1,0.3,0.2,Flat,0.0,0.0,2859000.2,1096.4097,155536.08,109947,
10,213,0.6221449,0.1,0.3,0.2,Flat,0.0,0.0,3514817.5,1598.3824,268512.62,112728,
11,196,0.5733186,0.1,0.3,0.2,Fair,0.0,0.0,3003852.0,749.53735,147606.78,113276,
12,224,0.9293734,0.1,0.3,0.2,Fair,0.0,0.0,4129501.8,1671.5195,354097.06,142489,
13,202,0.9140627,0.1,0.3,0.2,Fair,0.0,0.0,3413619.0,1229.002,295055.5,112629,
14,193,0.7225595,0.1,0.3,0.2,Fair,0.0,0.0,2943000.5,900.46326,190139.98,97344,
15,195,0.6230067,0.1,0.3,0.2,Flat,0.0,0.0,2642670.5,1121.6733,165264.27,90836,
16,192,0.63403887,0.1,0.3,0.2,Flat,0.0,0.0,2806019.8,1230.8411,191165.17,90736,
17,186,0.9756189,0.1,0.3,0.2,Flat,0.0,0.0,2574602.8,1531.2201,211260.31,88857,
18,200,0.21052629,0.1,0.3,0.2,Fair,0.0,0.0,3197290.0,290.4856,111351.41,115595,
19,208,0.36736578,0.1,0.3,0.2,Flat,0.0,0.0,3757562.8,1197.1892,205355.75,118729,
20,182,0.14681876,0.1,0.3,0.2,Flat,0.0,0.0,2660913.2,525.1477,100512.61,100777,
21,186,0.32482058,0.1,0.3,0.2,Fair,0.0,0.0,2805763.8,238.01572,159090.17,94342,
22,220,0.1928308,0.1,0.3,0.2,Flat,0.0,0.0,2991429.8,592.4342,94753.62,107716,
23,207,0.5428188,0.1,0.3,0.2,Flat,0.0,0.0,3568425.8,1415.8813,220723.47,121694,
24,195,0.81996965,0.1,0.3,0.2,Flat,0.0,0.0,4020463.5,2595.2456,542634.1,117523,
25,190,0.6547253,0.1,0.3,0.2,Flat,0.0,0.0,2129460.8,839.7457,107500.86,79330,
26,173,0.47217876,0.1,0.3,0.2,Fair,0.0,0.0,2682579.2,428.4455,153211.28,84428,
27,179,0.73777086,0.1,0.3,0.2,Fair,0.0,0.0,2829947.2,731.3506,213315.3,89058,
28,200,0.12261206,0.1,0.3,0.2,Fair,0.0,0.0,3688091.5,118.32079,122565.34,101959,
29,200,0.41922212,0.1,0.3,0.2,Fair,0.0,0.0,3971898.8,634.6354,240446.1,110481,
30,193,0.8941993,0.1,0.3,0.2,Flat,0.0,0.0,3368962.2,2089.2705,360001.47,102618,
31,226,0.84377426,0.1,0.3,0.2,Fair,0.0,0.0,3598515.8,1199.3438,294671.88,116227,
32,180,0.1822952,0.1,0.3,0.2,Fair,0.0,0.0,3007431.8,223.00314,113756.54,86301,
33,188,0.79054403,0.1,0.3,0.2,Fair,0.0,0.0,2865284.0,941.4481,213108.62,90348,
34,204,0.30678457,0.1,0.3,0.2,Flat,0.0,0.0,3161350.5,890.8867,155223.9,95658,
35,226,0.38255608,0.1,0.3,0.2,Fair,0.0,0.0,3608932.8,697.0128,159079.83,126971,
36,212,0.5016572,0.1,0.3,0.2,Fair,0.0,0.0,3051680.0,623.2184,166712.34,102011,
37,208,0.24644357,0.1,0.3,0.2,Fair,0.0,0.0,3203744.5,249.41684,137817.94,106224,
38,205,0.57002807,0.1,0.3,0.2,Flat,0.0,0.0,3096570.8,1236.1755,199741.38,100771,
39,206,0.679643,0.1,0.3,0.2,Flat,0.0,0.0,3843138.2,1926.082,345781.4,109367,
40,174,0.8553386,0.1,0.3,0.2,Fair,0.0,0.0,2710491.8,980.54126,205888.56,88740,
41,224,0.53169006,0.1,0.3,0.2,Fair,0.0,0.0,4536990.0,915.08203,305472.47,123533,
42,158,0.1341266,0.1,0.3,0.2,Flat,0.0,0.0,2567916.8,493.73413,94217.734,75304,
43,201,0.6609799,0.1,0.3,0.2,Flat,0.0,0.0,2501122.5,1094.0112,151254.9,96738,
44,191,0.4670326,0.1,0.3,0.2,Flat,0.0,0.0,2837967.0,1048.7483,178927.64,92379,
45,225,0.18483746,0.1,0.3,0.2,Fair,0.0,0.0,3265053.0,317.58594,103395.55,119311,
46,205,0.06296253,0.1,0.3,0.2,Flat,0.0,0.0,3398271.5,554.2009,117167.74,124182,
47,203,0.3858555,0.1,0.3,0.2,Fair,0.0,0.0,3717420.2,457.0085,214545.44,112466,
48,214,0.44253314,0.1,0.3,0.2,Flat,0.0,0.0,3887817.2,1583.3887,286262.78,124324,
49,220,0.29875016,0.1,0.3,0.2,Fair,0.0,0.0,3280640.8,380.75073,138916.7,111682,
50,194,0.022682369,0.1,0.3,0.2,Fair,0.0,0.0,3661774.8,35.579666,100529.484,110214,
51,201,0.29760903,0.1,0.3,0.2,Flat,0.0,0.0,3314669.0,1042.1624,196926.88,101922,
52,211,0.091867745,0.1,0.3,0.2,Fair,0.0,0.0,3907225.5,161.35962,121631.46,124174,
53,188,0.69216305,0.1,0.3,0.2,Flat,0.0,0.0,3201824.0,1558.7832,265216.47,99267,
54,196,0.67744255,0.1,0.3,0.2,Flat,0.0,0.0,3031396.0,1449.833,221700.22,103960,
55,221,0.57300967,0.1,0.3,0.2,Flat,0.0,0.0,3550213.8,1490.6891,235429.22,114582,
56,204,0.21207887,0.1,0.3,0.2,Fair,0.0,0.0,4110780.0,386.84756,177249.39,126253,
