Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,193,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8218881.0,1850.6929,200409.28,160452,
1,184,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7090164.5,1580.4316,160464.66,154094,
2,191,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7901001.5,1726.9756,188371.92,155625,
3,216,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8825262.0,2008.6947,216239.7,174243,
4,196,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8147401.0,1825.2969,196465.02,160503,
5,189,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7224965.5,1721.9521,179328.78,160822,
6,199,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8282159.5,1870.3633,192649.88,161656,
7,183,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7359311.5,1717.114,176505.61,150632,
8,199,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8105575.5,1810.8146,197284.38,166593,
9,198,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8370209.5,1933.7098,202234.14,161851,
10,193,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7795129.5,1790.2532,183336.58,157248,
11,212,0.2,0.1,0.3,0.2,Flat,0.0,0.0,9290380.0,2093.8096,215226.64,170461,
12,211,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9032158.0,1981.4727,211492.48,175272,
13,205,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8218667.5,1908.5977,198280.44,174156,
14,196,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7715257.5,1842.1719,192514.48,164421,
15,193,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7775237.5,1817.7532,190576.97,160222,
16,199,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8198625.5,1933.6199,201903.3,157406,
17,210,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9649985.0,2150.9883,245460.22,164980,
18,186,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8035166.0,1820.9148,193565.1,148510,
19,196,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8224675.5,1847.2728,193734.84,156764,
20,189,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7100025.5,1643.1719,166501.36,157391,
21,218,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9430451.0,2111.889,219652.8,175419,
22,213,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8253206.5,1888.6875,193777.73,178202,
23,195,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8548392.0,1933.3181,203598.45,151523,
24,222,0.2,0.1,0.3,0.2,Flat,0.0,0.0,9331162.0,2130.791,218814.61,179173,
25,178,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7174098.0,1586.6515,173964.17,145820,
26,199,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8641375.0,2019.7805,212078.9,157994,
27,189,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8114247.0,1915.1162,207541.95,150980,
28,189,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8254071.0,1871.2377,200390.64,155070,
29,204,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8224498.5,1905.688,195161.83,167286,
30,204,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8540971.0,1952.3335,201337.69,165479,
31,236,0.2,0.1,0.3,0.2,Fair,0.0,0.0,1.0268175E7,2325.3862,246947.31,189322,
32,187,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7586394.5,1731.0742,189811.0,153581,
33,182,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7817364.5,1796.3994,186351.58,146604,
34,210,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8661024.0,2025.5093,213849.22,171754,
35,203,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8351667.0,1908.2344,192746.73,163397,
36,203,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8555827.0,1981.6902,207007.14,161270,
37,195,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7928104.5,1782.0596,189104.66,159204,
38,218,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9191238.0,2057.5476,228194.75,180620,
39,179,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7660489.5,1750.2637,185204.64,146697,
40,191,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8043294.5,1866.7344,192413.66,147408,
41,220,0.2,0.1,0.3,0.2,Flat,0.0,0.0,9268952.0,2136.2053,223156.64,179216,
42,195,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8062171.5,1836.6843,189076.66,160482,
43,179,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7489805.0,1721.013,179931.62,145174,
44,223,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8942161.0,2099.9968,221160.77,185241,
45,199,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8208455.5,1836.0398,195774.89,161364,
46,217,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8936773.0,2045.5261,212714.5,176743,
47,195,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7953221.5,1740.4307,194496.56,156597,
48,207,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8500246.0,1883.0725,201248.58,171992,
49,194,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8084605.0,1878.8953,193918.5,159227,
50,178,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7182327.0,1644.7852,168722.75,144560,
51,201,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8247178.0,1937.1765,205418.69,161162,
52,187,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7756023.5,1849.019,192932.0,150505,
53,185,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7133338.5,1601.8074,163800.14,154672,
54,197,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8495808.0,1980.0286,210962.11,155989,
55,200,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8313040.0,1993.4844,214443.11,162895,
56,201,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8776551.0,1933.625,211044.0,160737,
57,214,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8449065.0,1921.2532,200028.02,174452,
58,215,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9607854.0,2160.5679,224678.78,170596,
59,209,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8116319.5,1878.1719,191382.84,178825,
60,204,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8461980.0,1958.1609,201667.86,167971,
61,174,0.2,0.1,0.3,0.2,Flat,0.0,0.0,7370051.0,1682.1843,172754.94,139492,
62,205,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8465866.0,1959.6616,202194.92,163687,
63,199,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8485645.0,1870.6022,199123.75,156570,
64,220,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8846885.0,1995.9508,215132.81,179569,
65,196,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7813752.0,1689.0,179084.2,162264,
66,196,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8281488.0,1850.9186,191452.1,158054,
67,191,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7302177.0,1641.2461,172167.17,162014,
68,203,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8923121.0,2064.6248,218280.34,157556,
69,214,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8660230.0,2020.2363,211957.42,172612,
70,213,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8287506.0,1873.4133,189611.94,179312,
71,209,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8441917.0,1918.8867,201187.45,172209,
72,186,0.2,0.1,0.3,0.2,Fair,0.0,0.0,8196554.5,1834.7466,193372.22,146021,
73,199,0.2,0.1,0.3,0.2,Fair,0.0,0.0,7706891.0,1759.8157,185394.81,164177,
74,207,0.2,0.1,0.3,0.2,Fair,0.0,0.0,9030336.0,2045.1636,212646.75,163390,
75,188,0.2,0.1,0.3,0.2,Flat,0.0,0.0,8270776.0,1914.1364,201180.48,150937,
