Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,218,0.2,0.28394884,0.3,0.2,Fair,0.0,0.0,4241073.5,720.4967,178495.6,126393,
1,173,0.2,0.30221897,0.3,0.2,Flat,0.0,0.0,3412445.5,1046.0034,163997.69,84730,
2,182,0.2,0.2397123,0.3,0.2,Fair,0.0,0.0,4647566.0,669.0,229821.97,125631,
3,234,0.2,0.2736169,0.3,0.2,Flat,0.0,0.0,5582212.5,1695.6405,271625.66,157197,
4,187,0.2,0.8446234,0.3,0.2,Flat,0.0,0.0,4372490.5,1400.2684,147214.1,110419,
5,190,0.2,0.5730092,0.3,0.2,Fair,0.0,0.0,3299039.8,719.88916,94810.61,108361,
6,200,0.2,0.80999607,0.3,0.2,Flat,0.0,0.0,4921549.5,1642.168,176187.55,117830,
7,186,0.2,0.9278759,0.3,0.2,Fair,0.0,0.0,3813312.8,1094.5493,112837.61,107694,
8,188,0.2,0.4408105,0.3,0.2,Fair,0.0,0.0,5391072.5,1276.5457,240847.84,132830,
9,214,0.2,0.006229222,0.3,0.2,Fair,0.0,0.0,5212844.5,11.9275055,307218.44,124962,
10,208,0.2,0.06740731,0.3,0.2,Fair,0.0,0.0,4629665.5,237.55042,212487.72,120412,
11,213,0.2,0.15267318,0.3,0.2,Flat,0.0,0.0,4756544.0,1429.2344,273848.3,135254,
12,162,0.2,0.14853162,0.3,0.2,Fair,0.0,0.0,3550107.0,322.24048,174923.44,102401,
13,204,0.2,0.11632562,0.3,0.2,Fair,0.0,0.0,5255950.0,314.46094,285530.34,129784,
14,183,0.2,0.2843656,0.3,0.2,Flat,0.0,0.0,4120499.5,1185.2812,179616.14,117765,
15,197,0.2,0.24130774,0.3,0.2,Flat,0.0,0.0,4033915.2,1083.206,170016.88,113244,
16,207,0.2,0.06401265,0.3,0.2,Flat,0.0,0.0,3907282.5,971.8669,203423.64,131128,
17,222,0.2,0.31505573,0.3,0.2,Flat,0.0,0.0,4892712.0,1409.9285,212038.95,120706,
18,188,0.2,0.60338885,0.3,0.2,Fair,0.0,0.0,3565944.8,885.1267,116938.69,112728,
19,219,0.2,0.6954957,0.3,0.2,Fair,0.0,0.0,4922107.0,1269.054,153796.03,140069,
20,201,0.2,0.34667438,0.3,0.2,Fair,0.0,0.0,4578766.5,866.5609,187348.4,124773,
21,179,0.2,0.66924125,0.3,0.2,Fair,0.0,0.0,4288226.0,1144.3945,145971.89,111577,
22,212,0.2,0.13804483,0.3,0.2,Flat,0.0,0.0,5405024.0,1705.7799,380032.56,145462,
23,184,0.2,0.44915503,0.3,0.2,Flat,0.0,0.0,4041901.2,1096.439,137612.61,126382,
24,195,0.2,0.2916274,0.3,0.2,Fair,0.0,0.0,4646773.5,766.1639,175583.38,125672,
25,209,0.2,0.2862082,0.3,0.2,Flat,0.0,0.0,5691449.5,1840.757,317812.2,139742,
26,199,0.2,0.8584271,0.3,0.2,Flat,0.0,0.0,5341304.5,1904.9539,200785.16,128107,
27,227,0.2,0.8485533,0.3,0.2,Flat,0.0,0.0,4382971.0,1176.981,121850.53,134201,
28,173,0.2,0.11187637,0.3,0.2,Flat,0.0,0.0,4297100.5,1230.0774,275972.38,101392,
29,182,0.2,0.07670033,0.3,0.2,Fair,0.0,0.0,4083712.5,93.625084,216527.55,108806,
30,188,0.2,0.44184905,0.3,0.2,Fair,0.0,0.0,4138983.8,909.06506,150257.3,121311,
31,199,0.2,0.93987566,0.3,0.2,Fair,0.0,0.0,4658925.0,1270.3137,130227.54,119315,
32,206,0.2,0.99423045,0.3,0.2,Fair,0.0,0.0,5376271.5,1829.5281,181604.3,132509,
33,193,0.2,0.94290245,0.3,0.2,Fair,0.0,0.0,3704198.8,986.12036,100465.56,113324,
34,194,0.2,0.043865323,0.3,0.2,Flat,0.0,0.0,4643627.5,1238.2161,327049.1,124082,
35,222,0.2,0.4287452,0.3,0.2,Fair,0.0,0.0,4464435.5,964.9731,164113.19,126277,
36,200,0.2,0.90795326,0.3,0.2,Flat,0.0,0.0,4922861.0,1469.9648,150163.98,122445,
37,210,0.2,0.018315017,0.3,0.2,Fair,0.0,0.0,3926281.2,9.369354,220803.9,118324,
38,193,0.2,0.25039303,0.3,0.2,Flat,0.0,0.0,3859665.0,1070.5273,167463.88,115348,
39,208,0.2,0.2709539,0.3,0.2,Flat,0.0,0.0,4581991.0,1260.3418,191498.66,138137,
40,208,0.2,0.5914762,0.3,0.2,Fair,0.0,0.0,4856121.5,1241.6233,173827.95,133177,
41,209,0.2,0.44656944,0.3,0.2,Fair,0.0,0.0,4738643.5,915.78284,142337.27,131151,
42,201,0.2,0.30861992,0.3,0.2,Flat,0.0,0.0,3575625.2,812.553,107621.56,121769,
43,181,0.2,0.22964144,0.3,0.2,Fair,0.0,0.0,4166604.2,622.2263,168698.12,116409,
