Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
0,139,0.2,0.1,0.3,0.2,Fair,0.05,0.15,8943840.0,1029.0244,133555.5,212296,
1,130,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9149628.0,1057.6914,144266.67,189035,
2,137,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9937545.0,1132.2676,159096.73,197984,
3,140,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9871070.0,1133.492,146516.08,213909,
4,138,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.019008E7,1313.0,147756.83,196904,
5,140,0.2,0.1,0.3,0.2,Fair,0.05,0.15,8351310.0,1005.5164,121660.7,218887,
6,156,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.0303744E7,1335.5659,150125.27,248463,
7,154,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1.0678233E7,1254.1738,155666.64,238815,
8,146,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9471764.0,1155.49,129257.41,224169,
9,133,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9521786.0,1310.4363,161576.97,204004,
10,144,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9638380.0,1290.1631,147689.22,203476,
11,158,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1.1079351E7,1322.9004,161498.6,241132,
12,151,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9613437.0,1249.605,134392.39,227882,
13,167,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.0706517E7,1377.8628,156668.36,247612,
14,154,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9442967.0,1106.3,130940.336,228317,
15,148,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9941875.0,1136.8164,144532.12,230013,
16,141,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9884645.0,1153.855,148228.08,205337,
17,154,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.0924587E7,1398.341,156703.48,220758,
18,139,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.0282491E7,1367.9688,155995.72,211237,
19,155,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1.0762355E7,1295.5166,151494.56,231543,
20,141,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9320208.0,1225.7715,140781.39,214991,
21,151,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9280303.0,1221.4075,135799.73,218918,
22,132,0.2,0.1,0.3,0.2,Flat,0.05,0.15,8554495.0,1091.7021,123942.195,200731,
23,142,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9139112.0,1187.8394,133133.62,213480,
24,137,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9897395.0,1147.7622,141078.17,204732,
25,138,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9509644.0,1139.5872,133174.2,201972,
26,137,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9762336.0,1298.9835,149362.64,210033,
27,155,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1.0396629E7,1198.782,160444.0,245635,
28,143,0.2,0.1,0.3,0.2,Fair,0.05,0.15,9517934.0,1091.0398,153938.34,230315,
29,161,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.1096296E7,1461.3008,167986.36,248235,
30,142,0.2,0.1,0.3,0.2,Flat,0.05,0.15,9368736.0,1210.3623,139878.55,221186,
31,156,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1.068382E7,1399.5734,160347.16,219176,
32,135,0.2,0.1,0.3,0.2,Flat,0.05,0.15,7980708.5,1046.1711,114346.42,196948,
