Id,PopSize,VAT,Levy,Tariff,WealthTax,Allowance,Unemployment,Black,Gdp,StateMoney,PopTotalMoney,NbTransactions,ConnectedStates
430,46,0.2,0.1,0.3,0.2,Flat,0.05,0.15,815853.8,164.98175,42903.49,27082,
431,52,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1290665.6,2.6656656,63467.695,27890,
432,36,0.2,0.1,0.3,0.2,Fair,0.05,0.15,842237.44,1.8852682,47876.61,26838,
433,46,0.2,0.1,0.3,0.2,Fair,0.05,0.15,899499.3,10.601351,28979.355,32093,
434,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,908476.06,202.00021,58938.3,28341,
435,51,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1189530.1,2.5356627,54226.68,43694,
436,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,803771.25,132.89929,33455.785,23965,
437,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1463310.8,367.5658,109165.63,41790,
438,57,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1078835.0,226.75009,59508.906,36996,
439,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1114932.6,274.63464,85420.28,36335,
440,60,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1119050.2,2.0213814,47276.406,38850,
441,63,0.2,0.1,0.3,0.2,Fair,0.05,0.15,821352.56,30.115746,20025.172,34061,
442,50,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1100173.4,2.3513012,58202.332,33115,
443,50,0.2,0.1,0.3,0.2,Flat,0.05,0.15,976893.2,196.36075,56966.78,31742,
444,49,0.2,0.1,0.3,0.2,Fair,0.05,0.15,953905.94,40.850403,26968.041,34928,
445,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1279933.9,2.7810884,69754.24,37410,
446,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1073977.1,133.27039,23623.277,34935,
447,48,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1104834.0,248.70068,60937.184,34326,
448,45,0.2,0.1,0.3,0.2,Fair,0.05,0.15,648786.56,1.2378688,32062.254,25874,
449,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1068957.8,29.052246,43709.777,38320,
450,53,0.2,0.1,0.3,0.2,Fair,0.05,0.15,957294.3,1.8200834,41044.484,35112,
451,42,0.2,0.1,0.3,0.2,Fair,0.05,0.15,889057.44,2.1198874,55190.305,25142,
452,47,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1006825.44,274.98096,82091.625,31488,
453,73,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1557735.1,11.129554,58460.844,46635,
454,54,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1051308.4,256.45114,70559.266,29829,
455,45,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1012134.06,235.2716,65647.47,35483,
456,42,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1039057.3,257.13025,81408.91,25454,
457,48,0.2,0.1,0.3,0.2,Fair,0.05,0.15,1165519.6,2.6155214,56630.336,38870,
458,43,0.2,0.1,0.3,0.2,Flat,0.05,0.15,727947.75,117.1297,27682.898,25509,
459,44,0.2,0.1,0.3,0.2,Fair,0.05,0.15,915430.5,1.740531,43767.305,31545,
460,52,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1205486.9,184.54706,43400.844,37612,
461,63,0.2,0.1,0.3,0.2,Flat,0.05,0.15,1096679.0,223.82962,65329.008,36039,
