Id,State,AgentInitMoney,AgentMoney,Talent,IsProducer,Purchases
0,172,1000.0,252.20047,0.3377747,true,899
1,67,1000.0,450.62082,0.6307092,true,2743
2,82,1000.0,631.74396,0.58816063,true,2938
3,138,1000.0,991.5859,0.8506323,true,3940
4,94,1000.0,647.65735,0.82989544,true,3329
5,92,1000.0,352.5661,0.05628097,true,819
6,194,1000.0,2062.2983,0.7198871,true,4033
7,30,1000.0,459.86038,0.13333851,true,952
8,55,1000.0,428.2385,0.021730721,true,879
9,129,1000.0,386.51416,0.47271758,true,1125
10,81,1000.0,441.62708,0.7174912,true,3608
11,134,1000.0,456.85342,0.6509059,true,980
12,96,1000.0,539.50195,0.70361114,true,2521
13,160,1000.0,525.5866,0.7462729,false,972
14,122,1000.0,1712.8663,0.60942876,true,4007
15,171,1000.0,812.68774,0.34397954,true,1459
16,44,1000.0,348.9848,0.90666986,true,1489
17,152,1000.0,446.67166,0.7401422,true,3353
18,48,1000.0,541.6714,0.014413118,true,1026
19,168,1000.0,2017.5575,0.7201593,true,4008
20,166,1000.0,399.87866,0.5464093,true,1510
21,62,1000.0,461.72812,0.5566162,true,3900
22,117,1000.0,597.2824,0.19626802,true,1155
23,48,1000.0,4688.0225,0.5489434,true,4045
24,136,1000.0,374.87747,0.010909677,true,846
25,100,1000.0,419.22968,0.51000917,true,1212
26,35,1000.0,344.16403,0.96381146,true,1143
27,5,1000.0,660.3594,0.09408659,true,1182
28,132,1000.0,730.13043,0.8069594,false,1215
29,60,1000.0,3729.641,0.7561424,true,4087
30,180,1000.0,449.36603,0.15405309,true,992
31,161,1000.0,484.8144,0.4341535,false,984
32,38,1000.0,6198.078,0.6273892,true,4037
33,25,1000.0,646.89307,0.7541633,true,3823
34,20,1000.0,8289.009,0.6869858,true,4019
35,31,1000.0,214.61925,0.6720498,false,631
36,95,1000.0,352.0372,0.45289117,true,917
37,69,1000.0,508.369,0.9864834,true,1460
38,37,1000.0,464.05078,0.43025237,true,1114
39,41,1000.0,428.90677,0.084311366,true,890
40,18,1000.0,5049.4062,0.5516042,true,3972
41,195,1000.0,1110.3464,0.61261386,true,3978
42,194,1000.0,508.6747,0.3619694,true,994
43,75,1000.0,1006.04846,0.51093256,true,3035
44,18,1000.0,555.71106,0.48974603,true,1238
45,173,1000.0,435.5236,0.98268265,true,1345
46,196,1000.0,356.16397,0.76998866,false,807
47,46,1000.0,379.15033,0.53651613,true,2751
48,1,1000.0,665.9106,0.51657474,true,1662
49,173,1000.0,435.25223,0.18641174,true,1125
50,118,1000.0,393.08026,0.47587848,true,1135
51,61,1000.0,342.94455,0.26352465,true,880
52,50,1000.0,409.36743,0.9369596,true,2365
53,63,1000.0,491.27258,0.06333816,true,1151
54,147,1000.0,361.13306,0.3219046,true,978
55,10,1000.0,531.44916,0.72841525,true,2178
56,22,1000.0,457.1895,0.33484322,true,974
57,157,1000.0,633.03656,0.35005802,true,1162
58,158,1000.0,481.0687,0.40929377,true,1026
59,72,1000.0,333.27628,0.26143897,true,831
60,154,1000.0,591.523,0.7608759,true,3721
61,33,1000.0,555.33466,0.8902765,true,3332
62,41,1000.0,1432.4414,0.82605946,true,3811
63,122,1000.0,361.76773,0.34088606,false,833
64,142,1000.0,396.30493,0.24750388,true,885
65,13,1000.0,440.2154,0.08344364,false,889
66,174,1000.0,340.112,0.8526726,true,1927
67,138,1000.0,495.26215,0.74255836,true,2265
68,190,1000.0,463.71487,0.26479214,true,958
69,197,1000.0,400.911,0.99775815,true,1099
70,87,1000.0,430.08194,0.883857,true,2615
71,75,1000.0,517.77606,0.035249412,false,1014
72,84,1000.0,421.23615,0.9802637,true,1607
73,106,1000.0,381.99045,0.8233202,true,2984
74,176,1000.0,526.994,0.5547925,true,3234
75,54,1000.0,4807.052,0.7230149,true,3980
76,179,1000.0,420.53403,0.43603563,false,951
77,160,1000.0,3284.5574,0.59121406,true,3959
78,43,1000.0,565.6312,0.81000495,true,3671
79,167,1000.0,573.47015,0.5850135,true,1204
80,69,1000.0,467.62543,0.006534457,true,981
81,137,1000.0,352.00598,0.33430248,true,824
82,107,1000.0,568.2344,0.9032264,true,3553
83,31,1000.0,215.43839,0.01369971,true,674
84,84,1000.0,1425.1597,0.7500709,true,3963
85,14,1000.0,339.14035,0.1155135,true,836
86,73,1000.0,385.3724,0.56650513,true,1431
87,99,1000.0,389.96497,0.40215003,true,1127
88,155,1000.0,510.70523,0.5175559,true,2750
89,132,1000.0,6827.71,0.59940153,true,3978
90,128,1000.0,448.92352,0.8368481,true,2131
91,195,1000.0,438.35632,0.8813041,true,2656
92,22,1000.0,479.8418,0.931639,true,2247
93,35,1000.0,344.16403,0.09276307,true,923
94,92,1000.0,351.31473,0.2786755,true,897
95,179,1000.0,427.7137,0.95790076,true,1828
96,13,1000.0,440.2154,0.5995504,true,3908
97,80,1000.0,432.1439,0.23008955,true,1016
98,37,1000.0,4493.1865,0.59037036,true,3990
99,180,1000.0,454.1922,0.85389215,true,2173
100,92,1000.0,356.34277,0.17292762,true,1092
101,107,1000.0,1437.5613,0.729637,true,3972
102,32,1000.0,382.3742,0.833203,true,3855
103,178,1000.0,15877.285,0.59811556,true,4016
104,132,1000.0,730.0171,0.11790866,true,1334
105,121,1000.0,421.5421,0.8958958,true,3185
106,134,1000.0,472.00003,0.7709129,true,2587
107,0,1000.0,606.1044,0.17100471,true,1185
108,122,1000.0,361.8299,0.3087722,false,865
109,90,1000.0,2545.3643,0.794239,true,3998
110,49,1000.0,568.6622,0.058227777,true,1187
111,54,1000.0,312.93335,0.2531222,true,823
112,55,1000.0,1319.9614,0.8084068,true,3955
113,35,1000.0,344.16403,0.27353382,true,873
114,174,1000.0,325.25793,0.26660258,true,870
115,113,1000.0,523.50635,0.378294,true,1176
116,5,1000.0,660.74695,0.44888908,true,1470
117,28,1000.0,334.3504,0.26249462,true,917
118,101,1000.0,427.6087,0.98545855,true,1354
119,82,1000.0,631.74396,0.5421267,true,1682
120,119,1000.0,493.64914,0.07545453,true,1040
121,33,1000.0,552.87256,0.015559971,true,1107
122,65,1000.0,427.32675,0.48720437,true,1258
123,52,1000.0,481.42316,0.56669015,true,1753
124,192,1000.0,581.369,0.567139,true,1828
125,45,1000.0,515.1412,0.2340756,true,1076
126,149,1000.0,1127.1154,0.6943197,true,3903
127,65,1000.0,2474.306,0.7721451,true,3990
128,106,1000.0,378.29184,0.9973751,true,883
129,153,1000.0,373.79523,0.23856288,true,929
130,107,1000.0,455.36377,0.43678385,true,1160
131,53,1000.0,412.06268,0.7560986,true,3833
132,56,1000.0,2126.489,0.54782254,true,3928
133,72,1000.0,3930.667,0.61785537,true,4031
134,199,1000.0,416.97964,0.2381289,true,974
135,169,1000.0,387.66217,0.33146697,true,1019
136,155,1000.0,510.70523,0.038715422,true,1015
137,149,1000.0,440.31274,0.030884564,true,1014
138,74,1000.0,421.1365,0.118400514,true,918
139,104,1000.0,479.1191,0.92362905,true,2629
140,56,1000.0,511.15796,0.18900627,true,1018
141,75,1000.0,517.77606,0.08689517,true,1074
142,70,1000.0,507.70618,0.15230632,true,1055
143,52,1000.0,482.38382,0.9776495,true,1490
144,175,1000.0,376.80243,0.9695888,true,2233
145,83,1000.0,420.19342,0.47987258,true,2723
146,127,1000.0,1126.1412,0.77083313,true,3810
147,129,1000.0,394.5043,0.17635506,true,1065
148,180,1000.0,6656.107,0.6628808,true,4051
149,160,1000.0,687.264,0.80296224,true,3480
150,191,1000.0,494.44647,0.044615448,true,1025
151,7,1000.0,522.8622,0.52004313,true,1453
152,89,1000.0,418.9925,0.49204773,true,3446
153,125,1000.0,522.3015,0.71866363,true,1616
154,192,1000.0,579.5832,0.4373352,true,1284
155,59,1000.0,450.76984,0.5686057,true,3343
156,105,1000.0,327.15378,0.9331492,true,2034
157,77,1000.0,434.2678,0.4105788,true,2933
158,13,1000.0,440.2154,0.7674345,true,2657
159,23,1000.0,501.95398,0.39684862,true,1325
160,166,1000.0,400.0978,0.07348859,true,941
161,145,1000.0,385.07388,0.49249792,true,1193
162,192,1000.0,582.1627,0.36642283,false,1085
163,132,1000.0,730.1875,0.063788,true,1333
164,98,1000.0,532.8232,0.6294477,true,3157
165,100,1000.0,770.9978,0.80060214,true,3980
166,84,1000.0,421.23615,0.67205954,true,3015
167,166,1000.0,425.24124,0.6467051,true,3029
168,33,1000.0,552.8668,0.48708755,true,2196
169,9,1000.0,541.7829,0.74456537,true,1345
170,124,1000.0,5417.258,0.74469316,true,3894
171,22,1000.0,456.59122,0.14074051,true,995
172,108,1000.0,550.5868,0.87879664,true,2217
173,106,1000.0,378.32928,0.1433366,true,928
174,57,1000.0,498.7659,0.44503874,true,1263
175,129,1000.0,423.04254,0.77480936,true,3380
176,22,1000.0,456.69226,0.55926746,true,1710
177,82,1000.0,631.74396,0.72138286,true,3053
178,63,1000.0,493.60727,0.26167417,true,986
179,159,1000.0,496.55048,0.5446184,true,1086
180,114,1000.0,2888.1567,0.5940834,true,3950
181,43,1000.0,410.01666,0.69117606,true,2753
182,24,1000.0,366.0805,0.026537597,true,890
183,108,1000.0,512.4822,0.013566613,true,1026
184,114,1000.0,8548.0,0.6241963,true,4036
185,72,1000.0,332.9778,0.09770244,false,827
186,70,1000.0,505.57532,0.0067058206,true,1026
187,169,1000.0,5626.3086,0.68231,true,3995
188,73,1000.0,385.3724,0.71957636,true,1472
189,75,1000.0,517.7761,0.8507782,true,3234
190,43,1000.0,330.7671,0.11073613,true,816
191,186,1000.0,428.46497,0.4777724,true,2114
192,104,1000.0,448.20367,0.18531632,true,969
193,183,1000.0,3450.2026,0.6209512,true,4041
194,147,1000.0,361.13306,0.19785237,true,930
195,105,1000.0,327.15378,0.16238368,true,838
196,59,1000.0,450.76984,0.9334698,true,2306
197,174,1000.0,324.41354,0.024769843,true,805
198,64,1000.0,601.7906,0.7282564,true,3345
199,1,1000.0,719.67126,0.7143255,true,2900
200,53,1000.0,412.06268,0.28390557,true,980
201,11,1000.0,2661.835,0.77520204,true,3913
202,5,1000.0,668.23535,0.24284613,true,1238
203,164,1000.0,463.52493,0.9795673,true,1866
204,103,1000.0,543.4972,0.30746043,true,1164
205,56,1000.0,538.68146,0.7229832,true,2497
206,123,1000.0,363.23364,0.410622,true,2236
207,172,1000.0,249.10362,0.14647257,true,775
208,92,1000.0,354.65604,0.07466912,true,877
209,47,1000.0,517.55316,0.9646762,true,1978
