Id,State,AgentInitMoney,AgentMoney,Talent,IsProducer,Purchases
0,64,1000.0,960.099,0.11218035,false,560
1,110,1000.0,982.2554,0.20779848,true,1694
2,112,1000.0,828.273,0.1142571,true,1672
3,61,1000.0,835.74695,0.04814726,true,1556
4,146,1000.0,841.5904,0.95321,true,1185
5,160,1000.0,903.5238,0.7185438,true,1382
6,61,1000.0,841.96356,0.84149253,true,1636
7,154,1000.0,3069.0981,0.6429052,true,1925
8,81,1000.0,840.04156,0.8725514,true,1132
9,80,1000.0,911.00024,0.76945305,true,1144
10,198,1000.0,1484.9614,0.6128302,true,1979
11,9,1000.0,982.3181,0.46444672,true,1708
12,2,1000.0,1017.3344,0.065703094,true,1702
13,150,1000.0,884.33203,0.8193048,true,1796
14,89,1000.0,881.99005,0.015303373,false,567
15,161,1000.0,831.4893,0.21745878,true,1629
16,28,1000.0,1546.3552,0.22403312,true,1907
17,159,1000.0,949.93494,0.67622805,true,1363
18,53,1000.0,908.92737,0.079609096,true,1542
19,152,1000.0,927.6058,0.3042016,true,1744
20,199,1000.0,945.1989,0.065820396,true,1412
21,139,1000.0,854.30035,0.19605541,true,1336
22,71,1000.0,947.65845,0.8657457,true,1747
23,148,1000.0,850.0655,0.22443128,true,1579
24,143,1000.0,854.0098,0.9969953,true,739
25,120,1000.0,1085.5216,0.4824475,true,1853
26,152,1000.0,971.2498,0.6256152,true,1991
27,189,1000.0,924.5261,0.58060753,true,1967
28,76,1000.0,1003.3307,0.6086116,true,1889
29,69,1000.0,814.96844,0.6083175,true,1789
30,12,1000.0,836.10126,0.8746218,true,1435
31,1,1000.0,981.3115,0.33291894,true,1775
32,21,1000.0,800.6943,0.9680806,false,538
33,167,1000.0,909.045,0.12808913,true,1724
34,18,1000.0,989.4768,0.9542995,true,1002
35,29,1000.0,903.1165,0.19865566,true,1678
36,40,1000.0,842.1891,0.9111984,true,1460
37,173,1000.0,849.82153,0.9003177,true,1141
38,2,1000.0,1017.3344,0.9179973,true,1470
39,10,1000.0,951.0977,0.3404621,true,1688
40,58,1000.0,829.94885,0.79199815,true,1593
41,63,1000.0,914.81354,0.99020666,false,574
42,50,1000.0,903.0078,0.8216559,true,1776
43,12,1000.0,894.4054,0.73799986,true,1693
44,36,1000.0,913.86127,0.3974583,true,1802
45,26,1000.0,1188.5261,0.67155004,true,1925
46,63,1000.0,914.81354,0.7517054,true,1737
47,171,1000.0,873.5221,0.887553,true,1556
48,27,1000.0,920.4214,0.98409784,true,1100
49,61,1000.0,836.89954,0.7976329,true,1238
50,17,1000.0,949.6275,0.17211598,true,1508
51,6,1000.0,861.4332,0.72410566,true,1583
52,117,1000.0,958.8811,0.64349,true,1514
53,166,1000.0,971.04034,0.06061983,true,1482
54,126,1000.0,926.7915,0.42263258,true,1352
