Id,State,AgentInitMoney,AgentMoney,Talent,IsProducer,Purchases
0,57,1000.0,758.68225,0.82158285,true,1628
1,133,1000.0,2426.457,0.66039115,true,1981
2,39,1000.0,431.25858,0.5258616,true,692
3,71,1000.0,2962.7773,0.61691844,true,1973
4,73,1000.0,701.39886,0.25590342,true,539
5,13,1000.0,554.5191,0.18989354,true,495
6,61,1000.0,6539.789,0.69816005,true,1955
7,186,1000.0,421.4685,0.49056953,false,397
8,179,1000.0,567.4389,0.902863,false,442
9,60,1000.0,487.28488,0.8117007,true,1894
10,159,1000.0,396.56598,0.5100053,true,975
11,145,1000.0,493.96906,0.83448696,true,1547
12,27,1000.0,360.54126,0.53341794,true,766
13,171,1000.0,380.076,0.9430069,true,1061
14,63,1000.0,536.7936,0.82247883,true,1876
15,62,1000.0,504.0261,0.8267098,true,1566
16,179,1000.0,777.62836,0.79462427,true,1861
17,23,1000.0,359.40012,0.35329968,true,399
18,169,1000.0,573.6783,0.41171587,true,584
19,20,1000.0,449.30826,0.90234643,true,992
20,165,1000.0,5723.953,0.6594486,true,1970
21,120,1000.0,518.99567,0.96422285,true,848
22,142,1000.0,498.386,0.98136914,true,585
23,45,1000.0,1828.6549,0.829469,true,1939
24,52,1000.0,410.26306,0.21770477,true,436
25,17,1000.0,4260.853,0.6204475,true,1988
26,106,1000.0,580.4461,0.6040886,true,901
27,180,1000.0,4691.1978,0.75015694,true,2029
28,163,1000.0,564.6805,0.29639685,true,488
29,6,1000.0,496.38843,0.13233286,true,447
30,46,1000.0,587.3318,0.7052985,true,1381
31,163,1000.0,564.6805,0.11246985,true,476
32,131,1000.0,941.5238,0.64775044,true,1956
33,72,1000.0,481.80588,0.14115775,true,462
34,77,1000.0,506.40448,0.9525528,true,1019
35,69,1000.0,7088.5303,0.66913307,true,1998
36,71,1000.0,2973.0676,0.69321316,true,1953
37,130,1000.0,8503.596,0.607704,true,2025
38,193,1000.0,402.2405,0.6637509,true,1403
39,123,1000.0,600.1818,0.9687146,true,848
40,139,1000.0,577.95715,0.06170535,true,489
41,78,1000.0,321.57367,0.9749735,false,341
42,158,1000.0,435.33847,0.59749436,true,1120
43,58,1000.0,613.4145,0.015077174,true,464
44,87,1000.0,561.3138,0.41040313,true,602
45,40,1000.0,445.67285,0.30581963,true,429
46,69,1000.0,390.0117,0.23886561,true,510
47,195,1000.0,466.5817,0.020884395,true,502
48,24,1000.0,426.25345,0.26633352,true,490
49,33,1000.0,636.75854,0.94627446,true,881
50,186,1000.0,453.25934,0.94391084,true,741
51,41,1000.0,415.46265,0.4309442,true,506
52,167,1000.0,424.61777,0.8770649,true,1362
53,68,1000.0,367.2407,0.5153528,true,1654
54,94,1000.0,492.32986,0.55610734,true,738
55,77,1000.0,506.40448,0.64116937,true,1457
56,79,1000.0,647.5595,0.30877185,true,526
57,147,1000.0,472.51855,0.27211505,true,456
58,76,1000.0,472.42133,0.35809708,true,474
59,92,1000.0,575.1354,0.08893746,true,460
60,130,1000.0,701.51074,0.27995765,false,527
61,186,1000.0,422.45102,0.16076922,false,398
62,167,1000.0,393.01703,0.4719677,true,706
63,55,1000.0,593.9872,0.6406305,true,1497
64,115,1000.0,460.6223,0.4691143,true,564
65,41,1000.0,415.46265,0.08459377,true,444
66,137,1000.0,544.6012,0.07136214,true,489
67,64,1000.0,436.0402,0.45213616,true,530
68,52,1000.0,410.26306,0.2846017,true,483
69,117,1000.0,295.05582,0.20946264,true,375
70,140,1000.0,485.1725,0.018697858,true,453
71,99,1000.0,2846.485,0.728092,true,2042
72,192,1000.0,484.1682,0.33502758,true,438
73,40,1000.0,445.67285,0.3477537,true,439
74,156,1000.0,471.27768,0.79077774,true,991
75,114,1000.0,413.44745,0.055653334,true,414
76,58,1000.0,611.0703,0.088409126,true,464
77,3,1000.0,5339.839,0.72342116,true,1996
78,50,1000.0,480.86368,0.80607253,true,1144
79,102,1000.0,406.68698,0.23856598,false,385
80,19,1000.0,358.88937,0.45839757,true,537
81,2,1000.0,420.15308,0.66901463,true,1512
82,33,1000.0,636.75854,0.51695776,true,1870
83,84,1000.0,384.07608,0.8073261,true,535
84,191,1000.0,447.55106,0.3058467,true,428
85,22,1000.0,409.27307,0.05542451,true,395
86,124,1000.0,406.32367,0.8801849,true,1484
87,100,1000.0,662.358,0.6312071,true,1675
88,176,1000.0,358.0121,0.09400755,true,389
89,4,1000.0,751.79694,0.5051361,true,714
90,141,1000.0,391.19733,0.068868995,false,380
91,83,1000.0,367.353,0.30793607,true,444
92,48,1000.0,399.4091,0.18562913,true,404
93,180,1000.0,4529.0605,0.68977296,true,1938
94,183,1000.0,404.64694,0.5392733,true,1762
95,33,1000.0,636.75854,0.2567997,true,588
96,74,1000.0,462.79147,0.5202474,true,627
97,169,1000.0,573.6783,0.26271158,true,520
98,131,1000.0,495.9054,0.81567323,true,1846
99,83,1000.0,466.0952,0.6909621,true,1686
100,80,1000.0,2692.8938,0.6599438,true,1965
101,39,1000.0,428.50446,0.22754729,true,406
102,29,1000.0,357.0959,0.6065789,true,1706
103,97,1000.0,408.7579,0.8947753,true,1512
104,141,1000.0,391.19733,0.44185388,true,624
105,135,1000.0,784.10333,0.7931944,true,1559
106,112,1000.0,530.39453,0.11560047,true,457
107,184,1000.0,474.96472,0.48186326,true,580
108,195,1000.0,4647.819,0.7257075,true,2005
109,172,1000.0,514.2238,0.016400158,true,493
110,93,1000.0,334.67712,0.6602343,true,1382
111,88,1000.0,454.7819,0.55976176,true,622
112,85,1000.0,488.50055,0.97468257,true,764
113,65,1000.0,2219.3853,0.78245467,true,2007
114,119,1000.0,493.3957,0.9618536,true,867
115,125,1000.0,508.05728,0.97689384,true,623
116,62,1000.0,3915.689,0.6578528,true,1975
117,159,1000.0,396.56598,0.92487836,true,1339
118,177,1000.0,6478.1406,0.72018397,true,1949
119,18,1000.0,541.6026,0.07766372,true,491
120,143,1000.0,1975.806,0.71251076,true,1942
121,66,1000.0,415.92346,0.534867,true,1667
122,76,1000.0,472.42133,0.33554417,true,501
123,96,1000.0,4502.6914,0.6414491,true,1996
124,44,1000.0,490.65344,0.5546477,true,990
125,52,1000.0,410.26306,0.7612768,true,1375
126,181,1000.0,482.67825,0.8921356,true,927
127,195,1000.0,526.1137,0.93127394,true,1248
128,151,1000.0,524.9314,0.37587172,true,509
129,136,1000.0,2177.4597,0.6519302,true,1952
130,132,1000.0,2477.793,0.76565915,true,2024
131,52,1000.0,410.26306,0.027942598,true,452
132,122,1000.0,1625.1411,0.7150447,true,2008
133,39,1000.0,507.3576,0.8370235,true,1472
134,109,1000.0,305.4465,0.4685428,true,493
135,166,1000.0,533.53937,0.8754164,true,979
136,40,1000.0,445.67285,0.54292005,false,417
137,117,1000.0,296.34036,0.10541803,true,404
138,35,1000.0,370.83408,0.5960597,true,767
139,76,1000.0,1838.1393,0.7132146,true,1984
140,123,1000.0,556.2288,0.34806222,true,588
141,124,1000.0,399.68268,0.17459577,true,455
142,86,1000.0,464.19778,0.986619,true,675
143,65,1000.0,458.66104,0.82162005,false,418
144,134,1000.0,403.81525,0.96232873,true,862
145,87,1000.0,566.5479,0.20506078,true,528
146,99,1000.0,525.766,0.4595102,true,718
147,46,1000.0,587.3318,0.7554717,false,468
148,75,1000.0,444.562,0.114197016,true,467
149,151,1000.0,833.4725,0.85996765,true,1869
150,52,1000.0,1615.6113,0.74338245,true,1990
151,94,1000.0,802.7467,0.4923244,true,1918
152,197,1000.0,882.0473,0.94821656,true,1109
153,0,1000.0,474.57516,0.9607585,true,932
154,146,1000.0,424.02707,0.45873952,true,841
155,52,1000.0,410.26306,0.17075789,true,442
156,15,1000.0,547.9846,0.99886763,true,515
157,100,1000.0,662.358,0.039588988,true,564
158,82,1000.0,579.6294,0.26773292,true,549
159,98,1000.0,628.1296,0.34461594,true,576
160,74,1000.0,462.79147,0.35710806,true,533
161,21,1000.0,473.4507,0.33932555,true,494
162,92,1000.0,573.9921,0.55453277,true,923
163,155,1000.0,467.2429,0.92895675,true,1145
164,130,1000.0,701.51074,0.01788932,false,572
165,182,1000.0,433.31848,0.061894894,true,487
166,76,1000.0,472.42133,0.24955916,true,520
167,57,1000.0,758.68225,0.26349616,true,604
168,169,1000.0,4666.4136,0.6469233,true,1934
169,50,1000.0,480.86368,0.91576606,true,1267
170,60,1000.0,2515.0688,0.6608545,true,1971
171,23,1000.0,376.4048,0.96932477,true,808
172,49,1000.0,446.96,0.25498015,true,446
173,91,1000.0,512.80334,0.2633477,true,467
174,22,1000.0,406.67477,0.42587793,true,533
175,55,1000.0,592.07434,0.52468026,true,740
176,181,1000.0,1993.7769,0.51800007,true,1814
177,147,1000.0,472.00464,0.41908085,true,580
178,190,1000.0,342.5774,0.94700366,true,764
179,28,1000.0,465.09995,0.7355561,true,1927
180,15,1000.0,598.9128,0.7312983,true,1744
181,165,1000.0,479.55338,0.89900887,true,1387
182,181,1000.0,436.93942,0.9240041,false,420
183,0,1000.0,474.57516,0.5269279,true,1138
184,138,1000.0,437.25476,0.63614666,false,440
185,4,1000.0,912.4857,0.6726056,true,1964
186,119,1000.0,714.1942,0.84679896,true,1876
187,190,1000.0,546.047,0.7303786,true,1875
188,8,1000.0,1359.9513,0.6070108,true,1950
189,105,1000.0,666.6,0.7176431,true,1516
190,101,1000.0,461.72858,0.561752,true,1064
191,152,1000.0,506.399,0.7939044,false,458
192,53,1000.0,467.1688,0.9377262,true,1087
193,96,1000.0,627.09155,0.42888016,true,664
194,10,1000.0,340.18243,0.27479613,true,387
195,73,1000.0,701.39886,0.589681,true,1404
196,57,1000.0,758.68225,0.21489316,true,617
197,99,1000.0,5394.8315,0.6813531,true,1972
198,41,1000.0,2513.7673,0.6046683,true,1927
199,83,1000.0,361.51343,0.7455738,false,411
200,57,1000.0,758.68225,0.016772091,true,578
201,53,1000.0,2366.5095,0.5990494,true,1938
202,59,1000.0,488.39932,0.5495361,true,689
203,177,1000.0,601.013,0.17617118,true,499
