Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,781658,209116.61,2.4790892E7,3.1809954E7
200,1477731,155225.86,2.4844764E7,5.4700528E7
300,2138722,133399.3,2.4866564E7,7.47708E7
400,2770353,118218.59,2.4881604E7,9.2900488E7
500,3383359,108193.914,2.4891526E7,1.09789424E8
600,3986006,102763.35,2.4897442E7,1.25946592E8
700,4577367,97588.18,2.4902386E7,1.41475504E8
800,5160676,93907.36,2.4906206E7,1.5643576E8
900,5737949,91189.22,2.490898E7,1.71011008E8
1000,6308880,88983.125,2.4911008E7,1.85290816E8
1100,6873929,86632.37,2.4913322E7,1.99260544E8
1200,7434988,84698.555,2.4915302E7,2.12958928E8
1300,7992546,83231.945,2.4916708E7,2.26458624E8
1400,8547014,81998.43,2.4917946E7,2.39821312E8
1500,9098582,80763.055,2.4919256E7,2.52996464E8
1600,9647556,80060.0,2.491996E7,2.660204E8
1700,10193951,79315.836,2.4920834E7,2.78927168E8
1800,10738598,78393.195,2.4921386E7,2.91722048E8
1900,11280892,77967.39,2.492213E7,3.0442496E8
2000,11821696,77396.875,2.4922644E7,3.17016992E8
2100,12360557,76486.35,2.4923478E7,3.29516928E8
2200,12897239,76032.62,2.4923886E7,3.41924768E8
2300,13434075,75418.45,2.4924462E7,3.54258656E8
2400,13969586,75079.86,2.4925046E7,3.66539328E8
2500,14504730,74438.95,2.4925506E7,3.78761376E8
2600,15037575,74000.64,2.4926078E7,3.90955872E8
2700,15570045,73840.19,2.4925944E7,4.03106112E8
2800,16100361,73221.484,2.4926652E7,4.15189248E8
2900,16630907,72358.336,2.4927804E7,4.2720544E8
3000,17161435,71999.945,2.4927954E7,4.39186016E8
