Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,1068403,206110.66,2.9793646E7,4.2607136E7
200,2003916,147117.78,2.9853026E7,7.390192E7
300,2887293,125119.72,2.9874712E7,1.00966496E8
400,3728479,111222.3,2.9888426E7,1.25319744E8
500,4544110,103583.03,2.9897014E7,1.4806312E8
600,5342225,98216.32,2.990163E7,1.69673184E8
700,6126912,93879.97,2.9906504E7,1.904464E8
800,6902295,90863.84,2.9909324E7,2.10651152E8
900,7669574,88517.27,2.9911438E7,2.30354016E8
1000,8429563,86346.33,2.9913808E7,2.49675712E8
1100,9182664,84433.24,2.9915134E7,2.68622112E8
1200,9931175,82904.57,2.991661E7,2.87291936E8
1300,10675308,81784.305,2.9918628E7,3.05726048E8
1400,11415383,80912.53,2.9919068E7,3.23979552E8
1500,12151847,79958.164,2.9919666E7,3.42020192E8
1600,12885792,79169.86,2.9921664E7,3.59910912E8
1700,13618520,78510.34,2.9922366E7,3.77719872E8
1800,14348751,77813.23,2.9921888E7,3.95410656E8
1900,15078313,77383.125,2.9922406E7,4.1304688E8
2000,15805861,77051.39,2.9922888E7,4.30595904E8
2100,16532112,76515.54,2.9923646E7,4.4809888E8
2200,17257458,75731.77,2.9924446E7,4.65520128E8
2300,17981149,74945.734,2.992506E7,4.82833056E8
2400,18704975,74633.945,2.992531E7,5.001272E8
2500,19425393,74085.234,2.992557E7,5.17345376E8
2600,20145821,73689.11,2.9926238E7,5.34535552E8
2700,20864836,73214.85,2.9926564E7,5.5165926E8
2800,21583670,73168.89,2.9926966E7,5.687344E8
2900,22301642,73208.06,2.9926568E7,5.8582355E8
3000,23018974,72656.13,2.9926636E7,6.0285037E8
3100,23737459,72583.87,2.9927558E7,6.1987501E8
3200,24454532,72301.74,2.9927776E7,6.3687808E8
3300,25171315,72284.67,2.9927602E7,6.5384614E8
3400,25887362,72194.36,2.9927172E7,6.7081491E8
3500,26603030,72040.47,2.9928638E7,6.8776467E8
3600,27318664,71769.18,2.9928646E7,7.0466054E8
3700,28034560,71835.25,2.9928524E7,7.2158835E8
3800,28748712,71632.77,2.9928932E7,7.3844518E8
3900,29464438,71295.09,2.9928554E7,7.553159E8
4000,30178324,71181.84,2.9928672E7,7.7214982E8
