Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,970366,206567.78,2.4793418E7,4.1982896E7
200,1928182,198798.45,2.480137E7,8.2281736E7
300,2880124,195418.06,2.4804686E7,1.22015024E8
400,3830139,193856.61,2.4806184E7,1.61518256E8
500,4779599,192454.4,2.4807624E7,2.00857408E8
600,5726147,190607.27,2.4809468E7,2.39913136E8
700,6670597,190363.77,2.4809356E7,2.7893184E8
800,7615167,189936.27,2.4810178E7,3.1785664E8
900,8558629,189850.44,2.4810238E7,3.56749504E8
1000,9501091,189279.14,2.4810668E7,3.95551072E8
1100,10446254,189116.89,2.4810784E7,4.34393568E8
1200,11388376,189116.12,2.4810878E7,4.73197312E8
1300,12330322,188437.66,2.4811556E7,5.11904864E8
1400,13273421,188455.31,2.481124E7,5.5065549E8
1500,14214405,187923.44,2.4812016E7,5.8929741E8
1600,15155048,188100.23,2.4811846E7,6.2794202E8
1700,16096625,187953.98,2.4812294E7,6.6660992E8
1800,17038811,187603.77,2.4812606E7,7.0526419E8
1900,17980391,187676.83,2.481249E7,7.4391136E8
2000,18922310,187687.62,2.4812322E7,7.8258208E8
2100,19864014,188052.3,2.4812E7,8.2125069E8
2200,20804367,187078.83,2.4812922E7,8.5982867E8
2300,21745121,186980.84,2.4812968E7,8.984135E8
2400,22686044,186832.22,2.481321E7,9.3698502E8
2500,23627769,186594.53,2.481331E7,9.7551578E8
2600,24569990,187177.81,2.4812706E7,1.01418278E9
2700,25509297,186797.44,2.4813188E7,1.05272538E9
2800,26450163,186901.14,2.4812996E7,1.09130675E9
2900,27390445,187053.2,2.481306E7,1.12991488E9
3000,28331690,187687.33,2.4812278E7,1.16859149E9
