Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,830018,189828.58,2.4810332E7,3.8929076E7
200,1553111,130698.08,2.4869236E7,6.6726468E7
300,2230914,109431.516,2.4890378E7,9.0660512E7
400,2872698,95595.8,2.4904422E7,1.11995888E8
500,3493733,87462.766,2.4912792E7,1.31760056E8
600,4100179,81780.46,2.4918102E7,1.50482112E8
700,4693303,77163.55,2.4922608E7,1.68348112E8
800,5277631,73414.36,2.4926754E7,1.85572176E8
900,5854267,70551.36,2.4929494E7,2.0229864E8
1000,6423152,68381.69,2.4931584E7,2.18580608E8
1100,6986431,66707.484,2.4933274E7,2.34486032E8
1200,7544375,65492.008,2.4934394E7,2.50078272E8
1300,8098198,64475.574,2.4935484E7,2.65443296E8
1400,8649006,63548.63,2.4936536E7,2.80590912E8
1500,9195152,62394.75,2.4937816E7,2.95507808E8
1600,9738342,61721.562,2.4938522E7,3.10237376E8
1700,10278803,60805.18,2.4939182E7,3.24768416E8
1800,10816359,59976.98,2.4940178E7,3.39156896E8
1900,11352302,59525.94,2.4940502E7,3.5343776E8
2000,11886683,59331.336,2.4940504E7,3.67655872E8
2100,12419384,58770.527,2.4941216E7,3.81740544E8
2200,12949446,58244.566,2.4941866E7,3.95710432E8
2300,13478746,58103.14,2.4941924E7,4.09645984E8
2400,14005374,57351.582,2.494272E7,4.234256E8
2500,14531127,57128.223,2.4942882E7,4.37134912E8
2600,15056314,56796.23,2.494321E7,4.50789088E8
2700,15578879,56610.996,2.4943614E7,4.64410688E8
2800,16101836,56540.773,2.4943564E7,4.77963104E8
2900,16623487,56200.58,2.4943812E7,4.914424E8
3000,17144061,56068.727,2.494417E7,5.04873824E8
