Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,1076899,246517.92,2.9753436E7,4.1617676E7
200,2035540,214885.25,2.9784732E7,7.3357264E7
300,2954110,201791.19,2.979817E7,1.01888056E8
400,3844518,192965.1,2.9807116E7,1.28595992E8
500,4720190,187245.73,2.9812818E7,1.54248048E8
600,5583744,183063.08,2.9817266E7,1.7910592E8
700,6439419,180379.97,2.9819908E7,2.03403056E8
800,7289889,178525.88,2.982148E7,2.27360512E8
900,8135138,176568.44,2.982301E7,2.51033776E8
1000,8976011,174860.38,2.982497E7,2.7441856E8
1100,9813790,173099.23,2.9826442E7,2.97586336E8
1200,10647477,172055.61,2.9827646E7,3.20590976E8
1300,11481313,171116.6,2.982882E7,3.4351664E8
1400,12311960,170207.6,2.9829446E7,3.66268E8
1500,13140112,169167.11,2.9830962E7,3.88873408E8
1600,13966955,168683.28,2.9831412E7,4.11385664E8
1700,14792587,167677.72,2.9832746E7,4.33796448E8
1800,15616778,167371.27,2.9832692E7,4.56115392E8
1900,16440786,166668.11,2.9833282E7,4.78408832E8
2000,17263442,165980.66,2.9834104E7,5.00617248E8
2100,18083742,165487.1,2.9834072E7,5.22716736E8
2200,18902639,164829.97,2.983559E7,5.4472794E8
2300,19720678,164783.89,2.9835386E7,5.6673581E8
2400,20537162,164520.88,2.983569E7,5.8869517E8
2500,21353425,164242.81,2.9835712E7,6.105881E8
2600,22169488,164395.56,2.9835184E7,6.3245101E8
2700,22985237,163693.52,2.9836432E7,6.5431341E8
2800,23799278,163288.28,2.9835996E7,6.7611046E8
2900,24612863,162831.81,2.9837748E7,6.9783802E8
3000,25425969,162586.78,2.9837032E7,7.1949843E8
3100,26238399,162283.83,2.9838026E7,7.4114291E8
3200,27048440,161960.1,2.9838124E7,7.6274195E8
3300,27858868,161330.42,2.9839214E7,7.8429638E8
3400,28670461,161533.19,2.9838386E7,8.0585146E8
3500,29481101,161324.17,2.983821E7,8.2735078E8
3600,30290480,161477.27,2.9838266E7,8.4881632E8
3700,31100890,161309.97,2.9838696E7,8.7034157E8
3800,31909573,161003.12,2.9839024E7,8.9181824E8
3900,32718124,160730.69,2.9839306E7,9.1324422E8
4000,33526629,160572.86,2.9839628E7,9.346688E8
