Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,66694,15121.74,1984874.1,3043470.5
200,124883,12209.134,1987783.4,5298815.5
300,179733,10968.555,1989030.1,7225349.5
400,230915,10196.4,1989798.0,8931571.0
500,280836,9781.441,1990209.6,1.0527446E7
600,329314,9449.231,1990544.8,1.2029186E7
700,377228,9285.085,1990708.8,1.3481042E7
800,424485,9156.417,1990843.0,1.489483E7
900,471242,9056.362,1990939.2,1.6277207E7
1000,517278,8912.879,1991088.9,1.7623802E7
1100,563246,8755.752,1991240.9,1.8944504E7
1200,608784,8705.38,1991296.0,2.0251968E7
1300,653768,8565.648,1991435.8,2.1523624E7
1400,699078,8570.091,1991434.2,2.280003E7
1500,743740,8499.233,1991505.5,2.4062358E7
1600,788485,8470.77,1991538.6,2.5320604E7
1700,832896,8420.915,1991587.4,2.6570442E7
1800,877262,8429.628,1991580.8,2.7820824E7
1900,921920,8426.252,1991582.0,2.907668E7
2000,966120,8328.424,1991687.0,3.0308826E7
2100,1010458,8334.911,1991673.8,3.1540876E7
2200,1054363,8207.423,1991807.9,3.2752888E7
2300,1098684,8338.434,1991679.0,3.3982416E7
2400,1142773,8319.406,1991699.1,3.5202556E7
2500,1186893,8268.915,1991742.4,3.6419824E7
2600,1231100,8223.31,1991795.8,3.763962E7
2700,1274904,8186.8584,1991826.5,3.8838396E7
2800,1318689,8204.398,1991812.9,4.0040656E7
2900,1362544,8173.005,1991844.2,4.1243444E7
3000,1406381,8182.581,1991840.9,4.2447956E7
