Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,829578,199685.7,2.4800652E7,3.9099848E7
200,1559574,149805.75,2.4850126E7,6.7262632E7
300,2249473,133447.16,2.4866672E7,9.1777784E7
400,2910413,121315.875,2.4878664E7,1.1405856E8
500,3555949,113695.44,2.4886302E7,1.350208E8
600,4188525,107771.64,2.489247E7,1.55027696E8
700,4810022,101958.18,2.4897822E7,1.74280592E8
800,5422154,97487.414,2.4902348E7,1.92898496E8
900,6027095,93684.11,2.49061E7,2.10982224E8
1000,6626833,90731.87,2.4909298E7,2.2866384E8
1100,7221373,88803.17,2.4911218E7,2.46011536E8
1200,7812778,86893.586,2.4913168E7,2.63102608E8
1300,8399598,85077.555,2.4915014E7,2.79916352E8
1400,8983048,83540.0,2.4916514E7,2.96476896E8
1500,9561096,81770.29,2.491811E7,3.12743328E8
1600,10136999,81183.13,2.4918712E7,3.28876896E8
1700,10711270,79981.13,2.4919876E7,3.44835008E8
1800,11283165,79189.734,2.4920814E7,3.60696992E8
1900,11852688,77690.45,2.4922246E7,3.76421856E8
2000,12420438,76861.11,2.492301E7,3.92011776E8
2100,12986480,76247.95,2.4923608E7,4.07452672E8
2200,13550805,75783.15,2.4924312E7,4.22825792E8
2300,14115048,75183.414,2.4924448E7,4.38127968E8
2400,14677896,74481.266,2.4925268E7,4.5334592E8
2500,15239273,74402.19,2.4925624E7,4.68461248E8
2600,15798844,73658.47,2.4926314E7,4.83552544E8
2700,16357125,73145.664,2.4926618E7,4.98547552E8
2800,16915131,72572.805,2.4927372E7,5.13479616E8
2900,17472141,72363.984,2.4927478E7,5.28362272E8
3000,18029043,71847.01,2.4928084E7,5.4321184E8
