Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,1135263,381589.25,3.961876E7,4.8749156E7
200,2215311,288254.12,3.9711316E7,8.5947176E7
300,3232925,255060.56,3.9744856E7,1.19305664E8
400,4220986,237831.9,3.976252E7,1.50550752E8
500,5192578,226525.23,3.977314E7,1.8047408E8
600,6148896,218844.06,3.9780524E7,2.0942608E8
700,7092618,212360.84,3.9788292E7,2.37587472E8
800,8028131,208057.6,3.9792484E7,2.65140496E8
900,8956355,204469.6,3.979628E7,2.92283904E8
1000,9879108,201873.05,3.9798276E7,3.19070624E8
1100,10798389,199379.64,3.9801072E7,3.4558336E8
1200,11712200,197309.03,3.9802728E7,3.718352E8
1300,12623274,196213.9,3.9803936E7,3.979144E8
1400,13530286,194468.34,3.980572E7,4.23756928E8
1500,14435932,193254.55,3.9806944E7,4.49445024E8
1600,15339352,191682.81,3.9808648E7,4.75028896E8
1700,16240299,190384.1,3.9809808E7,5.00457056E8
1800,17141487,189624.66,3.9810712E7,5.25821952E8
1900,18041185,188980.72,3.9810924E7,5.5110125E8
2000,18939537,188402.34,3.9811164E7,5.7631597E8
2100,19835903,187434.53,3.9812936E7,6.014775E8
2200,20732200,187081.2,3.9812768E7,6.2658714E8
2300,21627532,186737.17,3.9812748E7,6.5167501E8
