Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,29297,752.1936,999248.06,1504530.4
200,55262,49.507263,999949.3,2659665.0
300,79925,41.663307,999955.56,3653309.5
400,103664,43.63291,999952.5,4552571.0
500,126970,38.54614,999957.8,5406951.0
600,149579,46.37726,999949.0,6215177.0
700,171680,40.33174,999954.4,6981802.5
800,193814,41.037857,999952.7,7743385.5
900,215772,46.36935,999945.8,8481491.0
1000,237577,41.21195,999949.6,9213541.0
1100,259402,45.1644,999945.7,9943646.0
1200,280972,38.02816,999952.94,1.0654817E7
1300,302537,42.084682,999948.25,1.1365126E7
1400,323955,37.709312,999950.75,1.2065819E7
1500,345367,36.496826,999952.2,1.2755785E7
1600,366400,41.462986,999946.56,1.3447421E7
1700,387493,43.286865,999943.7,1.4132373E7
1800,409011,40.385323,999946.2,1.4832789E7
1900,430204,45.122314,999940.94,1.5520536E7
2000,451457,44.411407,999941.1,1.6217575E7
2100,472641,42.587524,999942.6,1.6911014E7
2200,494037,37.262634,999945.94,1.7609972E7
2300,515258,37.00038,999944.9,1.8303556E7
2400,536517,37.66391,999944.56,1.899453E7
2500,557353,43.246567,999937.4,1.9670224E7
2600,578502,38.74579,999941.9,2.0351374E7
2700,599507,43.003815,999937.4,2.1024016E7
2800,620747,38.62494,999940.7,2.1701188E7
2900,642023,38.598648,999941.1,2.2389946E7
3000,663183,41.33381,999937.9,2.3081628E7
3100,684376,44.08316,999934.4,2.3767692E7
3200,705656,35.79376,999943.56,2.443172E7
3300,726899,40.166668,999938.25,2.5110876E7
3400,747973,38.694748,999940.44,2.5783932E7
3500,769120,38.858368,999938.1,2.6463056E7
3600,790171,44.15824,999932.5,2.713365E7
3700,811210,37.4653,999938.56,2.7813718E7
3800,831892,37.182808,999937.7,2.8476908E7
3900,852818,37.347656,999937.94,2.9139602E7
4000,873645,41.417187,999934.4,2.9797336E7
4100,894626,35.607365,999939.25,3.0462502E7
4200,915562,36.260796,999938.06,3.113011E7
4300,936635,40.500202,999933.4,3.1797078E7
4400,957656,44.70661,999928.6,3.2463876E7
4500,978667,39.684082,999933.0,3.3132776E7
4600,999512,38.424316,999935.0,3.3801416E7
4700,1020824,37.553864,999934.0,3.4480732E7
4800,1041808,44.837776,999926.8,3.5150708E7
4900,1062673,38.188934,999931.8,3.5821208E7
5000,1083864,39.3042,999930.25,3.6486824E7
5100,1104815,36.577934,999932.75,3.7154392E7
5200,1125827,43.82788,999925.44,3.7821964E7
5300,1146771,42.520996,999925.44,3.8490628E7
5400,1167799,45.316612,999921.8,3.9161676E7
5500,1188558,43.186005,999923.9,3.9823908E7
5600,1209654,35.84912,999931.06,4.0493648E7
5700,1230722,44.844727,999921.56,4.1166584E7
5800,1251880,40.52593,999924.8,4.1839644E7
5900,1272855,35.69537,999928.5,4.251234E7
6000,1293725,36.952637,999926.2,4.3178136E7
6100,1315035,37.7294,999925.9,4.3856328E7
6200,1336101,38.560547,999924.56,4.45286E7
6300,1357548,37.720367,999925.25,4.5217112E7
6400,1378754,41.391506,999922.25,4.5908088E7
6500,1399719,36.05938,999926.06,4.6585812E7
6600,1420796,42.06571,999918.5,4.7262448E7
6700,1441835,35.640568,999924.0,4.7941512E7
6800,1462820,38.48442,999921.1,4.861738E7
6900,1483656,38.35373,999920.56,4.9298836E7
7000,1504947,36.825012,999921.9,4.9972812E7
7100,1525773,36.08111,999923.06,5.0643544E7
7200,1546562,37.73517,999921.06,5.1313104E7
7300,1567577,43.30542,999915.7,5.1973304E7
7400,1588645,41.075684,999918.56,5.263196E7
7500,1609712,39.09912,999920.1,5.3295512E7
7600,1630873,37.457825,999919.9,5.3962252E7
7700,1651793,35.869087,999920.56,5.4634912E7
7800,1672727,41.769238,999915.4,5.5291928E7
7900,1693730,44.533447,999911.44,5.5957856E7
8000,1714834,38.08815,999916.94,5.6635248E7
8100,1735780,41.568752,999913.8,5.7305308E7
8200,1757016,40.920837,999913.1,5.798372E7
8300,1777906,41.04082,999912.9,5.8654464E7
8400,1798810,37.51422,999915.7,5.9322884E7
8500,1819779,42.24222,999910.3,5.9993868E7
8600,1840913,43.34146,999908.2,6.0674648E7
8700,1861924,39.10759,999912.6,6.1348844E7
8800,1883022,43.250397,999907.56,6.2025816E7
8900,1904017,41.989746,999908.2,6.2695836E7
9000,1924931,44.095764,999906.1,6.3356896E7
9100,1945722,41.4792,999908.06,6.401476E7
9200,1966827,43.345367,999906.2,6.4685028E7
9300,1987818,35.886288,999913.5,6.5348628E7
9400,2008703,35.872505,999913.7,6.6017168E7
9500,2029649,40.796143,999908.0,6.6684548E7
9600,2050643,40.587646,999908.2,6.7348816E7
9700,2071460,38.107605,999910.0,6.7997488E7
9800,2092256,37.208496,999910.6,6.8659408E7
9900,2113202,35.64519,999912.44,6.931572E7
10000,2134138,39.52348,999908.9,6.998076E7
