Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,640343,167647.05,2.9832664E7,3.5689944E7
200,1247372,145421.53,2.9854886E7,6.674324E7
300,1836176,128889.17,2.9871372E7,9.4584648E7
400,2400637,114308.28,2.9885986E7,1.19778136E8
500,2954073,106539.07,2.9893332E7,1.435184E8
600,3496597,100988.45,2.9898866E7,1.66167504E8
700,4031814,96619.67,2.9903398E7,1.87950544E8
800,4560631,93775.38,2.990634E7,2.09066672E8
900,5083744,91075.9,2.9908638E7,2.2958528E8
1000,5603206,89132.53,2.9910492E7,2.49681088E8
1100,6119054,87949.06,2.9911686E7,2.69487104E8
1200,6631749,86084.3,2.9913448E7,2.88953472E8
1300,7142132,85028.0,2.9914578E7,3.08195744E8
1400,7649140,83554.89,2.9916142E7,3.27220928E8
1500,8155129,82641.96,2.9917152E7,3.46073472E8
1600,8658916,81844.93,2.9917376E7,3.64793312E8
1700,9161346,81258.37,2.991924E7,3.83438464E8
1800,9663371,80718.66,2.9919332E7,4.01934176E8
1900,10163064,79806.23,2.9919984E7,4.20278464E8
2000,10661861,79431.36,2.9920436E7,4.38493312E8
2100,11159610,78616.67,2.9921246E7,4.56610912E8
2200,11656816,77999.23,2.9922188E7,4.746968E8
2300,12153512,77953.79,2.9922054E7,4.92732384E8
2400,12649042,77338.34,2.9922236E7,5.10671104E8
2500,13144358,77283.96,2.9922752E7,5.28597376E8
2600,13639228,76980.43,2.9922718E7,5.4643942E8
2700,14132904,77006.28,2.9923352E7,5.6426394E8
2800,14626703,76876.75,2.9922804E7,5.8201472E8
2900,15119248,76510.89,2.992347E7,5.9971373E8
3000,15612408,76765.31,2.9923118E7,6.1741856E8
3100,16104001,76028.805,2.9923388E7,6.350039E8
3200,16595313,75868.14,2.9923844E7,6.5260115E8
3300,17086662,75580.875,2.9924214E7,6.7014861E8
3400,17576973,75557.18,2.992439E7,6.8769229E8
3500,18067013,74592.88,2.9925212E7,7.0515571E8
3600,18557033,75031.07,2.9925184E7,7.2261402E8
3700,19046374,74788.18,2.9925058E7,7.4002374E8
3800,19536238,74473.43,2.9925538E7,7.5740582E8
3900,20025511,74905.55,2.9924944E7,7.747719E8
4000,20514714,74763.89,2.9925042E7,7.9213632E8
