Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,1333496,328590.4,3.967154E7,6.6851676E7
200,2511723,233743.77,3.9766384E7,1.15682512E8
300,3621686,199990.42,3.97999E7,1.58194816E8
400,4679588,179399.1,3.982024E7,1.96733184E8
500,5708551,167660.83,3.9831944E7,2.32898592E8
600,6716929,159549.08,3.9840432E7,2.67456592E8
700,7709086,153720.97,3.984584E7,3.00838048E8
800,8689178,149121.3,3.98507E7,3.33296448E8
900,9658194,144506.45,3.985512E7,3.64949536E8
1000,10620403,141863.55,3.9858076E7,3.9609152E8
1100,11575190,139631.75,3.9860976E7,4.26782336E8
1200,12525714,137533.19,3.9862404E7,4.5713408E8
1300,13470908,135715.33,3.986352E7,4.87134624E8
1400,14412086,134444.56,3.9865844E7,5.16890592E8
1500,15350166,133470.62,3.986668E7,5.4642144E8
1600,16286333,132459.81,3.9867348E7,5.7579987E8
1700,17218346,131109.58,3.9869344E7,6.0493421E8
1800,18148911,130216.38,3.987016E7,6.3394342E8
1900,19078055,129416.44,3.9870592E7,6.6282989E8
2000,20004284,128538.03,3.9870796E7,6.9156915E8
2100,20930215,128521.266,3.9871604E7,7.2022758E8
2200,21852893,127425.39,3.9871904E7,7.4875437E8
2300,22775208,127156.57,3.9872268E7,7.772032E8
2400,23696270,126733.64,3.9872944E7,8.055975E8
