Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,547616,135427.2,2.4864756E7,2.9034168E7
200,1064868,113009.24,2.4886934E7,5.3742364E7
300,1564023,97083.195,2.490292E7,7.5592136E7
400,2043027,84743.25,2.4915382E7,9.5203456E7
500,2508883,77653.766,2.4921954E7,1.13443208E8
600,2965948,72669.14,2.4927374E7,1.30758104E8
700,3416726,68788.03,2.4931368E7,1.4735384E8
800,3861299,66232.05,2.4934042E7,1.63402416E8
900,4301166,63913.76,2.49359E7,1.78924544E8
1000,4736206,62334.65,2.4937564E7,1.94096384E8
1100,5167953,60972.43,2.4938732E7,2.08939904E8
1200,5596250,59873.96,2.494013E7,2.23534176E8
1300,6022462,58650.086,2.494144E7,2.37855168E8
1400,6445665,57905.055,2.4942044E7,2.51989568E8
1500,6866327,57150.715,2.4942824E7,2.65948656E8
1600,7285724,57051.887,2.4942956E7,2.7974016E8
1700,7703142,56307.75,2.4943506E7,2.93392512E8
1800,8117988,55616.41,2.494423E7,3.06862112E8
1900,8531334,55022.883,2.4944942E7,3.20199872E8
2000,8944490,54545.527,2.4945264E7,3.33453888E8
2100,9355667,54081.324,2.4945866E7,3.46623072E8
2200,9766673,54031.22,2.4946016E7,3.59736128E8
2300,10176042,53950.742,2.4945862E7,3.72757568E8
2400,10583526,53715.17,2.4946288E7,3.85663456E8
2500,10990607,53369.26,2.494643E7,3.9853136E8
2600,11396679,52990.004,2.4946932E7,4.11301856E8
2700,11802257,52591.594,2.4947372E7,4.23973216E8
2800,12208165,52608.285,2.4947262E7,4.36679616E8
2900,12611863,52291.77,2.4947734E7,4.49278176E8
3000,13015908,52330.727,2.494773E7,4.61858848E8
