Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,840712,185509.23,2.481446E7,3.7921672E7
200,1571743,129039.65,2.4871068E7,6.4970448E7
300,2259065,108272.03,2.4891678E7,8.8239272E7
400,2910111,94851.94,2.490533E7,1.08966184E8
500,3539248,86811.69,2.4913046E7,1.28121696E8
600,4152796,80631.44,2.4919372E7,1.4615864E8
700,4754562,76543.99,2.4923122E7,1.6346088E8
800,5345438,73018.11,2.4926786E7,1.80069344E8
900,5927731,70472.04,2.4929418E7,1.96181904E8
1000,6503708,68775.34,2.4931102E7,2.1189144E8
1100,7073742,67308.305,2.4932712E7,2.2723432E8
1200,7638232,65964.45,2.4934038E7,2.4227768E8
1300,8198655,65113.527,2.493494E7,2.57054416E8
1400,8754833,64527.074,2.4935218E7,2.71619808E8
1500,9308381,64016.06,2.493599E7,2.859912E8
1600,9856950,63071.27,2.4936868E7,3.00178336E8
1700,10404973,62240.137,2.4937724E7,3.14223168E8
1800,10949955,61697.336,2.493819E7,3.28125152E8
1900,11492564,61057.7,2.4938886E7,3.41904704E8
2000,12033654,60285.32,2.493987E7,3.55571968E8
2100,12571805,60143.395,2.493992E7,3.69113952E8
2200,13108979,59635.55,2.4940172E7,3.82574336E8
2300,13644875,59186.516,2.4940964E7,3.95939424E8
2400,14177606,58772.035,2.494127E7,4.0921584E8
2500,14711027,58535.36,2.4941492E7,4.22474464E8
2600,15242958,58339.48,2.4941768E7,4.356512E8
2700,15773043,58001.793,2.4942038E7,4.48746016E8
2800,16302508,57742.492,2.4942082E7,4.6175632E8
2900,16830969,57592.59,2.494234E7,4.74756352E8
3000,17358253,57316.902,2.4942522E7,4.87681344E8
