Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,1481941,381163.75,3.961774E7,7.6718896E7
200,2963563,377983.6,3.962184E7,1.52086768E8
300,4443856,377139.34,3.9623396E7,2.27320464E8
400,5926266,377129.75,3.962314E7,3.02573696E8
500,7407484,376666.03,3.9622564E7,3.7772208E8
600,8888505,376183.16,3.9623496E7,4.52821408E8
700,10368802,376238.38,3.9624012E7,5.27940832E8
800,11848139,375718.94,3.9624028E7,6.0299194E8
900,13326167,375621.16,3.9624812E7,6.7799686E8
1000,14808559,376756.78,3.9623328E7,7.531977E8
1100,16287734,375949.88,3.96235E7,8.2824493E8
1200,17768085,375929.47,3.9624196E7,9.0330688E8
1300,19247860,375945.12,3.96241E7,9.7834598E8
1400,20727144,375971.38,3.962376E7,1.05341459E9
1500,22208524,376108.66,3.962362E7,1.12847808E9
1600,23689185,376173.28,3.9623692E7,1.20356826E9
1700,25171108,375941.9,3.962402E7,1.27864102E9
1800,26651155,375893.0,3.9623444E7,1.35371725E9
1900,28131670,375905.9,3.9623668E7,1.42877888E9
2000,29613507,376370.94,3.9623684E7,1.50392077E9
2100,31093738,375693.25,3.9624448E7,1.57891302E9
2200,32575462,376027.2,3.9623908E7,1.65396813E9
