Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,823888,190157.14,2.4809932E7,3.8705084E7
200,1543189,131546.62,2.4868392E7,6.6052192E7
300,2218192,109725.62,2.4890272E7,8.9333904E7
400,2859012,96250.86,2.4903884E7,1.10041168E8
500,3480361,88171.8,2.491175E7,1.29297176E8
600,4086649,81970.29,2.4917984E7,1.47460032E8
700,4681182,77393.15,2.492269E7,1.64803152E8
800,5267355,74597.69,2.4925294E7,1.81569648E8
900,5846189,72307.586,2.4927616E7,1.97791344E8
1000,6418854,70489.26,2.4929132E7,2.13608224E8
1100,6985586,68864.28,2.4930952E7,2.29074272E8
1200,7547302,67579.36,2.4932336E7,2.44205744E8
1300,8104491,66526.7,2.4933316E7,2.59073248E8
1400,8657723,65874.65,2.4933844E7,2.73709344E8
1500,9208427,65042.953,2.4934904E7,2.88192448E8
1600,9755698,64112.66,2.4935916E7,3.02460608E8
1700,10300936,63578.84,2.4936324E7,3.16561856E8
1800,10842750,62790.93,2.4937266E7,3.30499552E8
1900,11383057,62204.47,2.4937494E7,3.44336352E8
2000,11921465,61826.17,2.4938216E7,3.58051584E8
2100,12458054,61302.74,2.493862E7,3.71667872E8
2200,12993262,60834.11,2.4939064E7,3.85209888E8
2300,13527503,60301.34,2.4939678E7,3.98670912E8
2400,14060162,59867.047,2.4940146E7,4.12054016E8
2500,14590887,59683.62,2.4940298E7,4.2535632E8
2600,15119545,59044.28,2.4940908E7,4.38556192E8
2700,15647701,58772.367,2.4941332E7,4.51661216E8
2800,16174827,58479.53,2.4941436E7,4.64720352E8
2900,16700891,58435.414,2.4941592E7,4.77779296E8
3000,17227053,58445.35,2.4941418E7,4.90783872E8
3100,17752380,58132.383,2.4941784E7,5.037368E8
3200,18276180,57885.125,2.4941996E7,5.16645056E8
3300,18800397,57819.387,2.4942096E7,5.2950688E8
3400,19323569,57656.016,2.494232E7,5.4233158E8
3500,19845336,57392.426,2.4942592E7,5.551152E8
3600,20367110,57245.96,2.4942778E7,5.6785037E8
3700,20888012,57296.383,2.4942382E7,5.805504E8
3800,21407873,57147.387,2.4942806E7,5.9325203E8
3900,21926837,57008.6,2.4942958E7,6.0591066E8
4000,22446032,57008.715,2.4943116E7,6.1854445E8
4100,22965176,56810.77,2.4943006E7,6.3111494E8
4200,23483182,56917.57,2.4943134E7,6.4369574E8
4300,24000643,56795.758,2.494315E7,6.5621466E8
4400,24517527,56650.113,2.4943364E7,6.6872006E8
4500,25034174,56600.406,2.494329E7,6.8121574E8
4600,25550726,56463.824,2.4943422E7,6.9367443E8
4700,26067085,56697.25,2.494329E7,7.0617146E8
4800,26583543,56387.125,2.4943502E7,7.1862675E8
4900,27099230,56230.406,2.494381E7,7.3105645E8
5000,27614942,56198.996,2.4943722E7,7.4349286E8
5100,28131252,56318.793,2.4943524E7,7.5592E8
5200,28645993,56243.887,2.494377E7,7.6834586E8
5300,29161329,56160.914,2.4943862E7,7.8075213E8
5400,29676193,55924.133,2.4944014E7,7.931257E8
5500,30192043,56040.754,2.4944248E7,8.0554016E8
5600,30706597,55974.402,2.4943928E7,8.1792826E8
5700,31221230,55813.5,2.4944086E7,8.3028819E8
5800,31735314,55641.02,2.4944308E7,8.4264499E8
5900,32249017,55908.18,2.4943986E7,8.5496826E8
6000,32762146,55757.55,2.4944192E7,8.672585E8
