Tick,WorldNbTransactions,WorldStatesMoney,WorldAgentsMoney,WorldGdp
100,926378,229725.9,2.4770184E7,4.6326772E7
200,1858546,226519.4,2.4773664E7,9.1675344E7
300,2786837,223827.61,2.4776216E7,1.36522272E8
400,3715006,222847.66,2.477715E7,1.8123696E8
500,4640839,221975.95,2.477817E7,2.25803888E8
600,5566813,221570.52,2.4778516E7,2.70338336E8
700,6491569,220925.12,2.477914E7,3.14731808E8
800,7416127,220547.66,2.4779072E7,3.5907056E8
900,8340841,220308.61,2.4779402E7,4.0339936E8
1000,9263894,220027.12,2.4779826E7,4.47660128E8
1100,10186424,219865.22,2.4779952E7,4.91887616E8
1200,11109253,219774.12,2.4780154E7,5.361192E8
1300,12031550,220004.08,2.4779876E7,5.8038886E8
1400,12954955,220275.1,2.4779614E7,6.2471315E8
1500,13877900,219476.1,2.4780274E7,6.68904E8
1600,14800794,220340.88,2.47796E7,7.1321811E8
1700,15724164,219824.5,2.478005E7,7.5742477E8
1800,16646506,219440.98,2.4780386E7,8.0159213E8
1900,17568509,219317.45,2.478073E7,8.4579283E8
2000,18492079,219106.81,2.4780714E7,8.8993965E8
2100,19413170,219195.3,2.4780806E7,9.3410618E8
2200,20336991,219672.05,2.4779982E7,9.7833766E8
2300,21259147,219181.44,2.4780748E7,1.02251027E9
2400,22180878,218802.61,2.4781056E7,1.06663456E9
2500,23100274,218255.72,2.4781616E7,1.11067674E9
2600,24021060,218458.44,2.478146E7,1.15473344E9
2700,24942541,218681.34,2.4781234E7,1.19882534E9
2800,25864508,218854.73,2.47813E7,1.24293888E9
2900,26787429,219129.64,2.4780746E7,1.28711552E9
3000,27708853,218711.14,2.4781004E7,1.33120947E9
