Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,38,0.0,151.62788,1999,8
1,23,0.0,218.49939,1963,7
2,28,0.0,17.857626,0,0
3,41,0.0,46.629963,1974,27
4,47,0.0,147.26437,1971,10
5,4,0.0,51.571316,0,1973
6,26,0.0,238.05753,0,0
7,49,0.0,49.97627,1836,112
8,36,0.0,10.381837,0,1992
9,13,0.0,71.80043,0,0
10,32,0.0,18.440157,0,2001
11,17,0.0,34.556686,764,1241
12,40,0.0,165.60893,1992,18
13,8,0.0,17.147705,113,1849
14,0,0.0,51.557674,27,2010
15,12,0.0,66.28286,1798,204
16,46,0.0,20.912323,0,1991
17,13,0.0,65.93187,1783,214
18,17,0.0,25.75041,19,2017
19,15,0.0,64.24997,1,2032
20,7,0.0,6.3796,0,2007
21,1,0.0,40.350388,38,1985
22,19,0.0,38.523174,1876,107
23,9,0.0,154.77399,1937,66
24,35,0.0,75.09905,0,0
25,27,0.0,237.9838,2000,6
26,39,0.0,31.669786,0,2014
27,12,0.0,51.355408,36,2004
28,39,0.0,9.098757,0,1970
29,47,0.0,147.3761,2000,12
30,3,0.0,173.86401,1939,9
31,4,0.0,176.91585,2000,10
32,26,0.0,84.637924,20,1984
33,37,0.0,90.72669,1830,154
34,15,0.0,189.32788,1968,18
35,33,0.0,34.829025,21,1956
36,3,0.0,96.30391,1748,221
37,8,0.0,17.774828,1325,667
38,24,0.0,55.268772,1935,17
39,28,0.0,87.90581,1626,358
40,4,0.0,134.82376,1979,23
41,9,0.0,198.88185,1925,17
42,20,0.0,33.020985,31,1944
43,10,0.0,6.224925,0,2002
44,14,0.0,0.5825287,0,1999
45,18,0.0,37.132847,27,2010
46,33,0.0,19.34439,0,2006
47,31,0.0,58.708622,1941,49
48,43,0.0,14.514837,2,1976
49,39,0.0,18.255903,0,1991
50,29,0.0,28.333288,0,1998
51,24,0.0,42.996624,1837,176
52,37,0.0,87.461395,1826,210
53,24,0.0,54.76618,2000,17
54,24,0.0,60.4616,2000,13
55,12,0.0,28.71634,0,2043
56,11,0.0,109.07355,1949,58
57,42,0.0,143.3479,1954,21
58,37,0.0,173.88106,2000,7
59,33,0.0,37.61605,30,1988
60,34,0.0,1.8742038,15,1994
61,35,0.0,99.7122,1965,14
62,1,0.0,8.949213,0,1946
63,7,0.0,20.736027,1917,65
64,25,0.0,37.392094,0,1970
65,22,0.0,91.90542,41,1950
66,7,0.0,9.437567,0,1993
67,25,0.0,81.297966,34,1958
68,18,0.0,23.958332,0,1989
69,49,0.0,18.29536,0,1971
70,31,0.0,46.86332,1689,275
71,13,0.0,2.4523232,0,2044
72,22,0.0,197.37015,1967,13
73,4,0.0,177.6896,1971,5
74,46,0.0,27.164448,17,1958
75,20,0.0,27.2502,0,2022
76,1,0.0,90.87988,1953,11
77,25,0.0,119.22201,1890,114
78,40,0.0,162.27428,1982,14
79,18,0.0,52.281708,1927,120
80,10,0.0,21.993387,1760,205
81,12,0.0,61.8202,1596,374
82,21,0.0,13.358187,0,1998
83,33,0.0,18.124653,0,2023
84,1,0.0,59.417908,1775,201
85,35,0.0,55.7582,1586,427
86,3,0.0,44.065197,0,2009
87,16,0.0,39.254097,0,1979
88,23,0.0,34.330845,0,1994
89,5,0.0,44.371128,1966,71
90,35,0.0,69.96397,1886,123
91,46,0.0,26.12263,9,1942
92,9,0.0,143.16995,1847,173
93,23,0.0,131.50916,1755,264
94,25,0.0,45.887836,0,0
95,23,0.0,124.011314,1594,407
96,34,0.0,0.57310253,0,0
97,45,0.0,82.03582,2000,19
98,11,0.0,60.37335,28,1977
99,32,0.0,20.130348,0,2045
100,39,0.0,6.3179245,0,1959
101,31,0.0,21.415495,0,2019
102,15,0.0,258.36417,1995,5
103,35,0.0,55.22383,1522,478
104,4,0.0,44.036724,0,1993
105,9,0.0,225.24864,2000,15
106,24,0.0,2.3714724,0,1949
107,43,0.0,16.73076,31,1994
108,49,0.0,11.582135,0,1975
109,38,0.0,83.52597,1529,480
110,47,0.0,125.248665,1996,13
111,42,0.0,117.5399,1942,71
112,30,0.0,112.316086,0,0
113,48,0.0,97.99359,2000,58
114,42,0.0,102.444595,1819,215
115,11,0.0,28.300379,0,2019
116,16,0.0,126.81198,2000,17
117,16,0.0,39.323833,0,2017
118,33,0.0,73.548195,1993,20
119,22,0.0,135.88376,1913,69
120,8,0.0,16.638788,29,1973
121,48,0.0,11.284628,0,2030
122,23,0.0,126.40532,1687,305
123,43,0.0,4.649023,0,2073
124,39,0.0,57.61214,34,1964
125,40,0.0,175.09166,1996,18
126,6,0.0,136.49203,1946,65
127,41,0.0,41.710968,1937,100
128,19,0.0,42.975307,0,0
129,1,0.0,24.814135,0,2040
130,16,0.0,155.51411,1983,7
131,27,0.0,150.69827,1916,66
132,21,0.0,30.18427,1,2017
133,28,0.0,93.62687,1821,171
134,27,0.0,141.11324,1912,116
135,43,0.0,2.7787714,0,1953
136,41,0.0,42.766743,1955,70
137,19,0.0,42.353325,1906,74
138,13,0.0,93.30648,1945,16
139,14,0.0,87.23524,35,1934
140,9,0.0,296.37573,1975,7
141,32,0.0,13.114832,0,2004
142,10,0.0,5.4161124,0,1994
143,42,0.0,177.58478,2000,9
144,33,0.0,6.4729805,0,1989
145,6,0.0,71.67983,35,1981
146,13,0.0,61.83707,1623,385
147,38,0.0,60.88566,23,1978
148,42,0.0,7.603927,0,2003
149,4,0.0,34.538185,0,1953
150,11,0.0,98.27789,1946,59
151,3,0.0,139.18364,2000,22
152,45,0.0,6.688689,0,2020
153,18,0.0,81.90263,1978,9
154,29,0.0,79.05207,1998,25
155,45,0.0,9.293838,0,1978
156,9,0.0,165.29903,1960,64
157,12,0.0,99.22123,1992,14
158,41,0.0,44.580357,1922,61
159,24,0.0,27.010798,15,1984
160,46,0.0,16.939913,0,2034
161,7,0.0,22.350216,1940,59
162,21,0.0,35.26959,26,1951
163,43,0.0,4.538003,0,1995
164,26,0.0,233.96252,1990,5
165,43,0.0,2.2220058,0,2001
166,33,0.0,0.98338497,0,2045
167,4,0.0,124.68019,1964,17
168,33,0.0,75.046,1957,19
169,22,0.0,30.37635,0,1977
170,7,0.0,14.0769415,22,1957
171,1,0.0,87.378174,1974,19
172,13,0.0,32.44831,0,2014
173,39,0.0,104.388985,1938,64
174,38,0.0,136.95534,2000,19
175,21,0.0,11.141417,0,2048
176,9,0.0,284.29816,2000,8
177,48,0.0,51.23211,34,2004
178,2,0.0,13.186638,0,1957
179,3,0.0,176.72809,2000,7
180,45,0.0,79.62141,1990,21
181,29,0.0,66.3546,1923,64
182,40,0.0,10.011927,0,2062
183,46,0.0,15.8480835,0,1998
184,34,0.0,2.126261,1469,487
185,31,0.0,16.357117,0,2055
186,0,0.0,8.803659,0,1991
187,18,0.0,41.85707,800,1218
188,0,0.0,132.75935,2000,13
189,49,0.0,25.997274,0,0
190,26,0.0,37.47983,0,1978
191,47,0.0,9.089194,0,1987
192,8,0.0,3.955725,0,2015
193,10,0.0,21.985403,1781,232
194,7,0.0,22.517864,1955,27
195,31,0.0,37.693867,31,1964
196,32,0.0,111.524734,1988,9
197,3,0.0,6.9859295,0,2034
198,36,0.0,54.226643,1982,15
199,3,0.0,143.07794,1983,16
200,9,0.0,268.15314,2000,8
201,40,0.0,53.396236,0,1998
202,48,0.0,14.811479,0,2008
203,10,0.0,5.101122,0,1989
204,42,0.0,3.118547,0,1955
205,8,0.0,9.587974,0,1987
206,27,0.0,116.70766,1158,846
207,9,0.0,35.681618,0,1999
208,31,0.0,12.706247,0,2008
209,41,0.0,55.366524,1946,15
210,2,0.0,43.22934,1946,64
211,10,0.0,17.210264,29,1933
212,24,0.0,11.177627,0,2042
213,26,0.0,77.840065,10,1964
214,43,0.0,6.458239,0,2008
215,9,0.0,223.01846,1999,16
216,19,0.0,0.64389145,0,1953
217,10,0.0,24.859596,1899,68
218,21,0.0,16.173666,0,1990
219,16,0.0,163.4739,2000,6
220,5,0.0,27.807497,28,1955
221,0,0.0,108.568726,1976,26
222,23,0.0,235.59523,1998,8
223,9,0.0,15.271873,0,2035
224,46,0.0,55.090015,1952,18
225,29,0.0,45.27538,27,1940
226,20,0.0,65.379135,1938,13
227,0,0.0,122.64142,1977,16
228,18,0.0,31.649206,14,2000
229,17,0.0,38.247715,1724,325
230,7,0.0,10.817192,0,2000
231,49,0.0,17.674051,0,1995
232,11,0.0,61.37965,30,1937
233,44,0.0,17.903101,16,2008
234,11,0.0,52.837894,11,1978
235,38,0.0,39.3162,0,2007
236,10,0.0,16.175135,26,1917
237,5,0.0,19.578232,1,2035
238,31,0.0,33.605328,21,2029
239,47,0.0,138.26552,2000,14
240,45,0.0,17.655325,0,1982
241,1,0.0,26.05343,0,1988
242,7,0.0,22.498825,1872,60
243,28,0.0,134.64673,1986,14
244,44,0.0,1.0702384,0,1968
245,37,0.0,43.97547,0,1954
246,2,0.0,33.6648,1496,534
247,23,0.0,170.60904,1980,20
248,15,0.0,54.742123,0,2028
249,48,0.0,86.6041,1844,156
250,49,0.0,66.76082,1987,17
251,26,0.0,129.05972,1840,168
252,15,0.0,23.168447,0,2019
253,10,0.0,9.365424,0,2048
254,43,0.0,0.62118447,0,1955
255,31,0.0,22.49662,0,2001
256,39,0.0,87.22677,1821,185
257,21,0.0,33.584427,28,1948
258,42,0.0,143.7832,2000,21
259,29,0.0,83.07014,1996,17
260,40,0.0,66.487404,26,1972
261,18,0.0,56.319004,1952,64
262,5,0.0,9.826029,0,2004
263,18,0.0,25.647854,0,2001
264,10,0.0,12.202961,0,2000
265,38,0.0,31.289425,0,2044
266,30,0.0,279.85654,1968,7
267,24,0.0,48.41729,1928,60
268,42,0.0,163.80414,1983,8
269,13,0.0,65.675026,1752,228
270,35,0.0,63.3633,1797,165
271,7,0.0,12.875096,0,2011
272,32,0.0,16.24757,0,1950
273,7,0.0,11.384457,0,2016
274,28,0.0,33.96997,0,2009
275,47,0.0,36.808613,0,0
276,4,0.0,135.79005,1953,19
277,7,0.0,13.990894,26,1968
278,25,0.0,144.33086,1991,14
279,42,0.0,8.211276,0,2001
