Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,0,0.0,23.289722,0,1941
1,13,0.0,68.74226,856,1124
2,26,0.0,80.75261,0,1985
3,47,0.0,39.589188,37,1968
4,46,0.0,44.868725,1918,69
5,30,0.0,32.044594,0,2015
6,11,0.0,30.61433,1936,66
7,17,0.0,101.342575,1962,15
8,15,0.0,66.64445,1919,114
9,12,0.0,0.12505464,0,2050
10,8,0.0,153.86992,1920,57
11,19,0.0,107.33396,0,0
12,28,0.0,183.82262,1907,70
13,34,0.0,48.508324,1930,61
14,24,0.0,4.0072346,0,1973
15,35,0.0,42.886936,0,2029
16,42,0.0,11.034621,19,1993
17,13,0.0,133.5558,2000,12
18,31,0.0,5.8182015,0,1950
19,37,0.0,91.44856,1921,107
20,28,0.0,116.293976,1428,571
21,42,0.0,0.687566,0,2015
22,21,0.0,132.37253,1805,200
23,0,0.0,43.085793,22,1951
24,37,0.0,48.19275,0,1998
25,16,0.0,43.082172,0,1986
26,36,0.0,9.477089,1287,695
27,1,0.0,103.70805,39,1968
28,28,0.0,274.5133,0,0
29,41,0.0,178.8982,1961,14
30,42,0.0,9.0980625,0,1996
31,44,0.0,185.00125,1904,62
32,39,0.0,0.15284984,0,2005
33,34,0.0,38.925945,1646,318
34,19,0.0,184.1763,1962,15
35,25,0.0,50.58106,1998,11
36,39,0.0,86.41595,1066,906
37,29,0.0,37.339634,1988,8
38,10,0.0,7.608158,0,2003
39,12,0.0,2.3059835,0,2022
40,28,0.0,290.73663,0,0
41,49,0.0,93.87663,2000,19
42,4,0.0,8.834587,0,1981
43,12,0.0,0.22426069,0,0
44,45,0.0,33.85139,0,1983
45,6,0.0,28.373638,0,2006
46,34,0.0,26.253963,0,0
47,20,0.0,67.50591,1850,158
48,25,0.0,49.35104,2000,15
49,31,0.0,171.05957,1938,14
50,5,0.0,92.454056,31,1970
51,0,0.0,94.64082,1965,15
52,45,0.0,51.442226,0,1982
53,25,0.0,4.392061,0,2024
54,36,0.0,0.46375582,0,2001
55,37,0.0,33.40426,0,2014
56,29,0.0,10.057737,0,1959
57,21,0.0,127.96116,1783,221
58,4,0.0,41.94356,1811,219
59,31,0.0,101.52958,1835,176
60,45,0.0,194.05229,2000,16
61,30,0.0,1.7223355,0,1959
62,22,0.0,209.68169,0,0
63,22,0.0,90.40093,41,1949
64,34,0.0,51.69791,1943,72
65,0,0.0,92.28464,2000,20
66,49,0.0,16.611101,0,2007
67,24,0.0,18.693628,25,1969
68,17,0.0,38.62897,0,1932
69,25,0.0,8.605118,0,1962
70,33,0.0,80.6647,1980,15
71,32,0.0,0.28253627,0,1978
72,6,0.0,88.82029,0,0
73,41,0.0,109.1966,1602,361
74,24,0.0,23.102613,1772,252
75,13,0.0,20.470724,0,2003
76,37,0.0,145.94176,2000,5
77,19,0.0,153.57361,1905,73
78,22,0.0,222.4175,2000,9
79,22,0.0,87.43421,34,1997
80,25,0.0,26.446377,24,2006
81,23,0.0,21.198427,9,2023
82,36,0.0,4.2244024,0,2003
83,15,0.0,62.60433,1870,166
84,47,0.0,38.8587,31,1983
85,6,0.0,145.38332,2000,21
86,23,0.0,26.845238,34,2007
87,27,0.0,41.526413,1668,324
88,41,0.0,68.38752,7,1995
89,15,0.0,24.401165,0,2013
90,24,0.0,17.800167,21,1929
91,42,0.0,12.286678,21,1940
92,47,0.0,55.764065,1899,67
93,19,0.0,159.40077,0,0
94,46,0.0,0.306903,0,1974
95,44,0.0,125.17201,1519,525
96,40,0.0,49.914703,1728,281
97,24,0.0,19.647186,36,1949
98,0,0.0,70.36861,1890,108
99,47,0.0,79.345215,1964,6
100,19,0.0,238.1,1959,10
101,19,0.0,152.00945,1911,52
102,15,0.0,43.672813,39,1951
103,22,0.0,217.88684,1998,7
104,32,0.0,2.9238794,7,2027
105,19,0.0,87.26765,34,2016
106,33,0.0,53.035633,1817,165
107,30,0.0,53.76545,32,1977
108,3,0.0,1.896052,0,1965
109,9,0.0,27.267645,0,1981
110,25,0.0,40.957367,0,0
111,24,0.0,12.102138,0,1991
112,49,0.0,65.029686,1644,408
113,49,0.0,78.31317,1923,55
