Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,30,0.0,64.013176,443,53
1,18,0.0,62.785847,476,1
2,25,0.0,135.27602,460,23
3,1,0.0,73.06733,0,497
4,48,0.0,117.7133,477,21
5,0,0.0,66.936455,37,451
6,43,0.0,37.865437,486,10
7,21,0.0,44.64005,450,53
8,25,0.0,145.51411,465,20
9,34,0.0,177.58908,412,63
10,10,0.0,76.26628,438,58
11,42,0.0,33.651924,0,0
12,28,0.0,106.102974,0,0
13,21,0.0,55.99442,520,7
14,27,0.0,3.1721923,0,485
15,6,0.0,50.935364,23,493
16,11,0.0,47.793537,52,471
17,11,0.0,55.3786,0,0
18,45,0.0,32.54453,33,474
19,24,0.0,10.748925,0,510
20,6,0.0,32.890858,0,508
21,10,0.0,38.91009,21,468
22,28,0.0,178.96033,497,15
23,8,0.0,175.71904,474,11
24,33,0.0,9.372391,0,481
25,34,0.0,249.04639,498,10
26,31,0.0,208.50655,521,8
27,3,0.0,40.054455,428,61
28,6,0.0,93.84714,163,328
29,16,0.0,143.47552,434,68
30,2,0.0,221.97282,516,4
31,40,0.0,10.998263,0,498
32,39,0.0,13.705623,27,476
33,1,0.0,76.92694,0,499
34,2,0.0,14.045218,0,456
35,4,0.0,161.68535,491,14
36,43,0.0,30.630274,0,0
37,12,0.0,150.558,480,44
38,36,0.0,133.97134,461,25
39,41,0.0,209.59535,514,17
40,48,0.0,94.97358,0,0
41,23,0.0,94.21579,467,40
42,26,0.0,1.173836,0,522
43,25,0.0,212.50223,492,9
44,8,0.0,9.586635,0,512
45,20,0.0,46.13661,0,508
46,47,0.0,56.15613,0,513
47,41,0.0,146.9728,356,141
48,39,0.0,6.0450845,0,495
49,18,0.0,7.28815,0,506
50,10,0.0,39.333984,24,473
51,31,0.0,149.22646,467,12
52,29,0.0,7.9810805,0,499
53,26,0.0,190.22202,468,23
54,3,0.0,7.518884,0,455
55,28,0.0,148.71947,503,10
56,5,0.0,111.639,359,148
57,24,0.0,35.495358,3,485
58,42,0.0,53.648037,33,465
59,37,0.0,24.385645,0,493
60,42,0.0,53.13902,29,445
61,41,0.0,97.79702,0,479
62,39,0.0,17.28666,82,400
63,2,0.0,69.26605,29,465
64,9,0.0,15.768958,0,480
65,2,0.0,28.129696,0,497
66,37,0.0,94.03868,258,265
67,9,0.0,145.80884,435,69
68,30,0.0,57.8222,374,112
69,5,0.0,70.51295,19,473
70,38,0.0,8.415778,0,500
71,42,0.0,39.877567,5,504
72,17,0.0,12.236607,31,469
73,46,0.0,125.161156,481,17
74,5,0.0,113.37495,438,82
75,28,0.0,52.69765,0,514
76,23,0.0,121.04906,472,12
77,24,0.0,75.54316,478,14
78,12,0.0,33.81179,0,466
79,9,0.0,79.382904,12,499
80,34,0.0,4.038011,0,487
81,9,0.0,224.52661,501,5
82,3,0.0,23.598766,0,502
83,13,0.0,47.745853,0,477
84,47,0.0,108.13076,1,493
85,15,0.0,120.961494,0,0
86,45,0.0,47.64815,476,49
87,5,0.0,124.81226,428,68
88,14,0.0,7.149865,0,494
89,9,0.0,115.98765,375,121
90,40,0.0,62.301994,25,478
91,45,0.0,65.78035,509,4
92,36,0.0,94.23744,312,183
93,12,0.0,39.21504,0,482
94,46,0.0,93.65663,0,0
95,14,0.0,61.857876,37,472
96,25,0.0,223.81071,467,13
97,23,0.0,90.743324,400,96
98,10,0.0,90.24,514,19
99,21,0.0,24.204973,0,482
100,14,0.0,107.25504,466,19
101,10,0.0,21.949078,0,484
102,4,0.0,116.72584,391,86
103,20,0.0,177.22716,478,11
104,24,0.0,72.56902,471,24
105,0,0.0,13.077838,0,491
106,40,0.0,156.68367,473,10
107,46,0.0,49.747177,1,511
108,21,0.0,31.387728,35,476
109,49,0.0,187.04984,483,16
110,45,0.0,37.901127,415,84
111,44,0.0,7.7692156,0,493
112,15,0.0,127.99059,448,75
113,2,0.0,171.73314,501,21
114,13,0.0,82.61685,452,66
115,7,0.0,174.36572,554,10
116,2,0.0,171.78546,493,15
117,38,0.0,139.71606,475,9
118,14,0.0,108.58749,491,16
119,39,0.0,26.144518,472,21
120,45,0.0,16.820215,0,501
121,38,0.0,139.93756,485,4
122,7,0.0,67.67147,0,494
123,28,0.0,158.7346,493,8
124,21,0.0,22.233116,0,492
125,22,0.0,121.67694,491,21
126,47,0.0,12.884346,0,478
127,45,0.0,31.717903,25,490
128,27,0.0,7.015625,3,497
129,11,0.0,16.634987,0,498
130,10,0.0,72.49037,449,56
131,30,0.0,79.15345,469,5
132,8,0.0,115.703094,169,290
133,43,0.0,24.0108,222,249
134,7,0.0,115.62444,450,33
135,20,0.0,184.36153,495,16
136,31,0.0,145.31827,466,13
137,2,0.0,35.22458,1,478
138,41,0.0,56.845264,0,496
139,2,0.0,138.41818,223,302
140,31,0.0,184.13034,480,10
141,42,0.0,4.3292747,0,482
142,30,0.0,46.396236,0,0
143,37,0.0,156.43427,498,10
144,25,0.0,138.0064,478,22
145,32,0.0,28.84444,485,39
146,7,0.0,82.51253,33,483
147,17,0.0,19.152641,467,13
148,32,0.0,4.1722913,0,506
149,44,0.0,21.841396,0,523
150,15,0.0,34.992653,0,484
151,14,0.0,7.678712,0,543
152,46,0.0,61.897224,9,501
153,8,0.0,256.39493,498,4
154,14,0.0,133.71428,0,0
155,43,0.0,5.683748,0,485
156,16,0.0,192.40025,517,5
157,6,0.0,221.18295,526,1
158,49,0.0,199.79172,498,19
159,12,0.0,41.424618,0,497
160,18,0.0,19.072605,2,495
161,34,0.0,259.00583,499,17
162,19,0.0,83.009026,483,24
163,27,0.0,0.260901,0,490
164,29,0.0,55.706028,0,489
165,21,0.0,24.97855,0,484
166,0,0.0,39.008026,12,506
167,6,0.0,85.17954,0,0
168,41,0.0,151.76195,463,36
169,23,0.0,87.04944,359,155
170,23,0.0,85.1445,344,172
171,7,0.0,70.371185,19,495
172,1,0.0,139.19368,17,496
173,8,0.0,141.60814,371,124
174,10,0.0,73.6729,0,0
175,20,0.0,142.8853,445,64
176,49,0.0,57.34256,0,473
177,8,0.0,185.93277,476,13
178,16,0.0,231.41301,474,6
179,41,0.0,226.20297,483,10
180,26,0.0,167.27019,482,21
181,4,0.0,89.86119,329,185
182,2,0.0,172.2878,478,15
183,15,0.0,10.174502,0,499
184,20,0.0,33.19945,0,509
185,18,0.0,35.21119,4,497
186,7,0.0,25.313082,0,515
187,33,0.0,5.869628,0,0
188,6,0.0,153.88864,508,10
189,21,0.0,6.2568426,0,522
190,41,0.0,178.0007,491,16
191,2,0.0,32.114162,0,500
192,4,0.0,189.1316,497,3
193,2,0.0,224.40942,503,6
194,8,0.0,221.6662,494,11
195,22,0.0,23.034773,0,498
196,39,0.0,23.943007,428,70
197,38,0.0,59.6523,38,454
198,47,0.0,96.922264,1,463
199,26,0.0,223.73285,476,17
200,27,0.0,4.404386,0,508
201,2,0.0,9.04183,0,491
202,8,0.0,70.46444,18,512
203,44,0.0,172.9267,473,14
204,6,0.0,89.7601,40,487
205,34,0.0,128.03487,35,449
206,29,0.0,165.85895,467,10
207,36,0.0,226.02727,474,8
208,34,0.0,37.1242,0,507
209,41,0.0,187.17131,472,13
210,44,0.0,13.687208,0,509
211,30,0.0,83.041756,525,6
212,17,0.0,15.624646,70,466
213,9,0.0,74.27896,2,541
214,14,0.0,84.20142,422,64
215,5,0.0,136.8709,490,16
216,15,0.0,113.13589,445,63
217,2,0.0,201.10187,498,8
218,15,0.0,42.55469,2,481
219,36,0.0,12.908834,0,493
220,48,0.0,137.46208,465,12
221,10,0.0,7.661613,0,491
222,32,0.0,32.281513,469,13
223,48,0.0,45.02683,0,486
224,38,0.0,151.28801,511,4
225,32,0.0,14.994834,10,498
226,39,0.0,21.272354,418,80
227,31,0.0,194.32819,497,4
228,39,0.0,13.442369,17,483
