Id,Type,ProductionPrice,SellingPrice,Stock,Sales
0,38,0.0,189.47296,1221,8
1,48,0.0,16.803988,0,1212
2,44,0.0,77.250206,1029,166
3,43,0.0,108.0109,1191,5
4,17,0.0,44.072758,32,1191
5,22,0.0,193.13661,1174,16
6,1,0.0,48.326183,0,1235
7,33,0.0,12.394327,0,1223
8,2,0.0,89.15835,1216,24
9,25,0.0,0.97089523,0,1200
10,9,0.0,0.72560894,0,1195
11,30,0.0,1.5673434,0,1246
12,17,0.0,74.973045,1134,63
13,49,0.0,20.74747,375,796
14,20,0.0,20.827478,0,1228
15,14,0.0,57.637066,0,1206
16,46,0.0,29.632296,697,513
17,10,0.0,0.17556621,0,1213
18,45,0.0,165.94748,1171,20
19,43,0.0,66.29099,1096,119
20,39,0.0,125.95568,1201,8
21,12,0.0,44.43338,0,1184
22,28,0.0,41.612057,379,862
23,35,0.0,20.297127,1190,1
24,23,0.0,26.013567,0,1224
25,31,0.0,143.15628,1168,18
26,18,0.0,18.34924,0,1208
27,26,0.0,59.817604,173,1017
28,27,0.0,49.748177,0,1227
29,13,0.0,68.020096,1139,23
30,43,0.0,97.02493,1176,9
31,17,0.0,58.03749,322,922
32,7,0.0,43.14111,0,1199
33,15,0.0,35.839287,0,1177
34,44,0.0,46.379494,13,1185
35,15,0.0,98.60555,1008,211
36,25,0.0,0.18808883,0,1208
37,33,0.0,110.55007,1222,8
38,29,0.0,13.377898,1146,67
39,11,0.0,10.966639,0,1208
40,21,0.0,13.181075,0,1205
41,8,0.0,15.5870695,0,1195
42,48,0.0,79.56458,25,1182
43,19,0.0,60.451015,1,1174
44,10,0.0,15.4910555,1130,72
45,4,0.0,57.046,0,1215
46,36,0.0,87.93463,1216,12
47,13,0.0,77.831764,1181,17
48,35,0.0,4.8898654,0,1226
49,22,0.0,285.24384,1176,4
50,34,0.0,6.9850674,0,1219
51,12,0.0,22.097277,0,1208
52,20,0.0,128.63484,1187,11
53,48,0.0,59.86576,0,1195
54,25,0.0,1.2417879,2,1170
55,49,0.0,2.1002495,0,1219
56,32,0.0,7.7303333,0,1182
57,29,0.0,9.099718,21,1152
58,8,0.0,37.709568,0,1189
59,18,0.0,41.31835,36,1169
60,5,0.0,3.4375129,0,1180
61,37,0.0,144.24577,1182,13
62,28,0.0,55.508324,1183,46
63,45,0.0,240.29333,1167,10
64,49,0.0,32.68921,1180,13
65,45,0.0,184.92328,1179,15
66,5,0.0,22.211569,0,1192
67,22,0.0,290.97208,1196,3
68,34,0.0,4.027513,0,1205
69,40,0.0,85.50153,802,387
70,17,0.0,75.481514,1137,71
71,26,0.0,93.68769,1149,16
72,6,0.0,99.62908,39,1167
73,49,0.0,16.921879,24,1177
74,32,0.0,14.923423,0,1228
75,16,0.0,100.39909,1175,27
76,18,0.0,76.481606,1177,10
77,45,0.0,33.74388,0,1222
78,47,0.0,38.19205,0,1193
79,18,0.0,6.090973,0,1184
80,40,0.0,117.756874,1173,19
81,4,0.0,226.45294,1146,11
82,43,0.0,96.44167,1167,15
83,2,0.0,85.21036,1143,58
84,49,0.0,16.67519,26,1183
85,2,0.0,91.94181,1167,21
86,15,0.0,48.943623,0,1228
87,1,0.0,0.7848074,0,1205
88,24,0.0,8.078504,1103,66
89,47,0.0,40.911263,0,1206
90,5,0.0,68.426346,27,1189
91,22,0.0,86.32559,28,1164
92,34,0.0,53.069542,1196,11
93,6,0.0,107.42156,36,1169
94,38,0.0,224.00587,1159,9
95,32,0.0,131.13937,1102,111
96,15,0.0,179.47112,1184,7
97,47,0.0,171.88579,1158,10
98,33,0.0,3.8131487,0,1231
99,10,0.0,10.924189,21,1170
100,12,0.0,150.16112,1226,21
101,43,0.0,27.62685,0,1236
102,46,0.0,28.056108,38,1164
103,17,0.0,60.173515,753,448
104,15,0.0,70.838,21,1129
105,23,0.0,61.813873,35,1182
106,8,0.0,23.737028,0,1214
107,11,0.0,11.427795,0,1174
108,16,0.0,17.502518,0,1230
109,31,0.0,76.517,23,1141
110,46,0.0,2.6773965,0,1195
111,4,0.0,140.35916,1142,77
112,9,0.0,0.44508752,0,1187
113,30,0.0,62.36643,624,561
114,39,0.0,40.01818,0,1212
115,26,0.0,41.99555,2,1198
116,16,0.0,45.662853,18,1192
117,19,0.0,8.298362,0,1177
118,9,0.0,1.758964,0,1204
119,21,0.0,11.385133,0,1214
120,38,0.0,51.51851,0,1191
121,15,0.0,8.000802,0,1191
122,24,0.0,7.9493165,1093,71
123,25,0.0,0.85885644,0,1208
124,43,0.0,84.90162,1175,21
125,26,0.0,101.618614,1146,12
126,11,0.0,14.243749,0,1186
127,31,0.0,6.0291066,0,1221
128,32,0.0,102.75698,32,1154
129,16,0.0,84.28216,1157,61
130,36,0.0,87.98372,1168,15
131,36,0.0,48.97181,38,1183
132,14,0.0,57.226234,0,1154
133,7,0.0,1.6974276,0,1179
134,9,0.0,1.1874795,0,1170
135,44,0.0,22.530714,0,1180
136,28,0.0,49.046047,1093,112
137,17,0.0,104.954475,1197,8
138,49,0.0,31.67751,1195,18
139,47,0.0,140.77954,1213,20
140,37,0.0,109.794525,1119,70
141,46,0.0,2.6848545,0,1178
142,22,0.0,86.97875,24,1144
143,38,0.0,169.25697,1107,14
144,11,0.0,17.703638,16,1180
145,23,0.0,117.484215,1208,6
146,14,0.0,173.3872,1197,12
147,40,0.0,187.23717,1158,0
148,39,0.0,19.825735,0,1179
149,14,0.0,62.351254,0,1227
150,39,0.0,31.154804,0,1182
151,40,0.0,122.876755,1172,17
152,15,0.0,25.047873,0,1242
153,28,0.0,51.340733,1158,61
154,22,0.0,0.9124633,0,1208
155,34,0.0,33.982136,923,312
156,15,0.0,175.82274,1206,11
157,31,0.0,58.795708,0,1235
158,42,0.0,37.55017,1160,74
159,10,0.0,14.673862,1103,64
160,25,0.0,1.5108029,1126,63
161,46,0.0,27.742678,30,1196
162,29,0.0,4.759408,0,1229
163,16,0.0,66.49789,651,512
164,26,0.0,18.957273,0,1185
165,28,0.0,24.379265,0,1192
166,41,0.0,176.83891,1241,5
167,45,0.0,163.26318,1153,73
168,30,0.0,49.59507,30,1184
169,44,0.0,55.80061,30,1195
170,22,0.0,177.68794,1140,21
171,16,0.0,123.26453,1179,12
172,8,0.0,56.867123,63,1141
173,49,0.0,23.560331,1086,126
174,37,0.0,95.19359,971,263
175,27,0.0,90.807526,935,276
176,10,0.0,0.93775785,0,1202
177,44,0.0,43.138817,0,1231
178,26,0.0,3.7657866,0,1128
179,42,0.0,32.87504,1004,174
180,11,0.0,30.957685,1188,26
181,38,0.0,76.07711,28,1128
182,2,0.0,69.9293,941,271
183,44,0.0,101.36388,1190,11
184,48,0.0,149.05559,1147,19
185,16,0.0,109.05778,1124,12
186,18,0.0,72.664154,1190,14
187,46,0.0,35.07254,1106,71
188,22,0.0,210.68028,1224,10
189,40,0.0,95.50767,1112,115
190,20,0.0,59.961357,27,1155
191,8,0.0,105.19336,1188,9
192,17,0.0,13.818944,0,1183
193,31,0.0,38.57401,0,1217
194,40,0.0,49.393192,0,1218
195,44,0.0,41.519806,0,1208
196,32,0.0,46.846413,0,1202
197,31,0.0,134.80151,1170,21
198,1,0.0,40.21324,0,1222
199,47,0.0,169.83362,1256,12
200,34,0.0,18.990976,0,1274
201,39,0.0,75.02894,994,217
202,35,0.0,6.8709826,0,1251
203,29,0.0,15.059067,1185,20
204,34,0.0,36.14388,1055,160
205,39,0.0,51.89745,26,1194
206,12,0.0,132.4223,1145,55
207,30,0.0,50.764797,35,1199
208,1,0.0,33.452827,0,1201
209,22,0.0,70.21397,0,1197
210,22,0.0,91.40699,28,1188
211,35,0.0,13.839436,997,205
212,9,0.0,0.17714387,0,1211
213,24,0.0,3.6539478,0,1193
214,30,0.0,113.3762,1220,9
215,36,0.0,77.05989,1146,20
216,2,0.0,75.14419,1101,120
217,33,0.0,1.9918784,0,1165
218,37,0.0,14.408919,0,1231
219,48,0.0,56.69297,0,1212
220,45,0.0,125.36142,948,275
221,5,0.0,226.558,1214,4
222,6,0.0,249.88554,1222,4
223,45,0.0,277.22733,1199,1
224,47,0.0,58.52269,2,1207
225,24,0.0,6.782448,26,1138
226,17,0.0,21.73652,0,1185
227,45,0.0,64.206696,0,1192
228,7,0.0,51.492424,28,1144
229,38,0.0,177.909,1181,15
230,6,0.0,191.89024,1188,8
231,18,0.0,15.973568,0,1196
232,27,0.0,46.63657,0,1248
233,35,0.0,4.527156,0,1209
234,11,0.0,35.4818,1170,19
235,14,0.0,235.45412,1173,4
236,30,0.0,69.215935,1058,119
237,9,0.0,2.6067479,1011,198
238,7,0.0,127.3887,1217,11
239,20,0.0,102.414955,1199,27
240,40,0.0,48.69616,0,1221
241,45,0.0,35.352573,0,1176
242,27,0.0,158.5098,1251,13
243,33,0.0,113.35833,1193,5
244,48,0.0,82.40866,33,1186
245,9,0.0,2.6447246,1129,77
246,28,0.0,20.337896,0,1163
247,46,0.0,6.6383386,0,1228
248,48,0.0,125.709465,1129,64
249,28,0.0,22.819107,0,1244
250,34,0.0,47.240696,1167,20
251,23,0.0,112.003296,1195,12
252,24,0.0,2.223237,0,1212
253,36,0.0,93.12601,1210,11
254,18,0.0,80.91769,1227,6
255,30,0.0,95.25117,1205,12
256,12,0.0,175.10034,1168,12
257,2,0.0,21.685913,0,1212
258,47,0.0,179.62828,1191,11
259,34,0.0,54.082188,1179,8
260,1,0.0,97.37187,39,1153
261,26,0.0,102.80279,1210,13
262,11,0.0,24.511314,1053,175
263,36,0.0,0.112811364,0,1211
264,45,0.0,246.16162,1186,7
265,3,0.0,61.715286,0,1186
266,28,0.0,24.512712,0,1191
267,28,0.0,22.274097,0,1212
268,1,0.0,84.66189,31,1209
269,4,0.0,23.405865,0,1195
270,7,0.0,6.9536514,0,1204
271,28,0.0,30.015476,5,1197
272,34,0.0,1.9922587,0,1169
273,20,0.0,34.492146,0,1213
274,20,0.0,66.48154,31,1181
275,12,0.0,63.807674,0,1180
276,7,0.0,48.276855,0,1247
277,30,0.0,102.5054,1204,12
278,14,0.0,198.7562,1205,7
279,31,0.0,146.78578,1154,14
280,6,0.0,15.842804,0,1198
281,2,0.0,90.95381,1214,14
282,38,0.0,136.64618,1173,72
283,18,0.0,0.33718362,0,1240
284,28,0.0,23.072205,0,1162
285,44,0.0,109.76404,1213,13
286,18,0.0,76.89305,1191,6
287,16,0.0,92.07392,1169,23
288,45,0.0,39.589123,0,1155
289,12,0.0,154.58887,1155,24
290,42,0.0,3.2045953,0,1182
291,20,0.0,96.178665,1169,70
292,10,0.0,1.3140534,0,1207
293,23,0.0,97.84173,1195,20
294,1,0.0,60.204178,0,1169
295,34,0.0,15.391276,0,1225
296,1,0.0,132.99779,1137,71
297,18,0.0,55.10817,1145,65
298,39,0.0,87.87296,1121,65
299,17,0.0,79.94386,1167,28
300,26,0.0,57.432842,38,1131
301,33,0.0,9.304924,0,1170
302,5,0.0,37.46822,0,1225
303,21,0.0,2.7930489,0,1213
304,13,0.0,89.55963,1160,11
305,41,0.0,164.66405,1210,10
306,32,0.0,107.37337,296,867
307,31,0.0,29.09776,0,1211
308,3,0.0,112.6387,1067,163
309,38,0.0,10.408984,0,1216
310,43,0.0,82.41446,1190,26
311,42,0.0,29.293283,298,905
312,13,0.0,89.05137,1200,8
313,12,0.0,148.61517,1158,21
314,22,0.0,100.25754,37,1137
315,42,0.0,33.891323,1137,106
316,43,0.0,64.72527,1008,170
317,6,0.0,97.80397,36,1178
318,35,0.0,12.08155,33,1205
319,12,0.0,1.1657853,0,1185
320,47,0.0,88.31989,35,1173
321,39,0.0,50.869186,28,1170
322,25,0.0,0.91939485,0,1207
323,23,0.0,79.30629,1160,61
324,25,0.0,0.39579841,0,1181
325,28,0.0,28.850452,0,1204
326,9,0.0,2.15683,15,1213
327,15,0.0,48.915737,0,1184
328,33,0.0,106.39337,1147,11
329,22,0.0,128.28888,988,203
330,24,0.0,5.6699486,13,1192
331,20,0.0,137.98996,1185,12
332,44,0.0,68.0459,43,1159
333,21,0.0,17.495605,0,1180
334,32,0.0,6.1121,0,1217
335,43,0.0,66.09044,988,168
336,24,0.0,7.845588,1066,66
337,39,0.0,125.77305,1183,9
338,10,0.0,2.8345733,0,1196
339,31,0.0,103.60093,912,281
340,37,0.0,112.376366,1115,73
341,6,0.0,78.770294,27,1165
342,41,0.0,5.5134296,0,1220
343,24,0.0,7.351449,959,207
344,19,0.0,98.03379,31,1089
345,26,0.0,73.45234,1107,121
346,45,0.0,275.1506,1219,0
347,26,0.0,121.17318,1157,5
348,4,0.0,77.50797,24,1234
349,23,0.0,0.49649623,0,1220
350,9,0.0,0.21455023,0,1234
351,38,0.0,226.07555,1152,8
352,27,0.0,37.351425,0,1176
353,10,0.0,1.7996078,0,1239
354,4,0.0,171.29176,1197,19
355,17,0.0,68.33395,1084,124
356,0,0.0,1.9234555,0,1221
357,11,0.0,17.45513,10,1150
358,13,0.0,81.482704,1208,11
359,6,0.0,95.98902,26,1149
360,22,0.0,239.28513,1156,9
361,19,0.0,89.32396,35,1154
362,4,0.0,122.12776,963,235
363,25,0.0,0.83471274,0,1220
364,32,0.0,163.73532,1202,9
365,15,0.0,36.66509,0,1224
366,41,0.0,122.18413,1223,18
367,26,0.0,38.238564,1,1181
368,5,0.0,232.90558,1210,4
369,34,0.0,26.470623,26,1160
370,11,0.0,7.034861,0,1205
371,43,0.0,71.404175,1123,57
372,20,0.0,21.512423,0,1230
373,29,0.0,9.399782,20,1195
374,41,0.0,53.00826,4,1183
375,31,0.0,34.899635,0,1179
376,11,0.0,17.287125,11,1162
377,39,0.0,138.36278,1175,6
378,30,0.0,69.110596,1077,126
379,35,0.0,5.3521,0,1154
380,29,0.0,0.27346414,0,1169
381,25,0.0,1.2261319,1,1178
382,16,0.0,31.286509,0,1156
383,35,0.0,0.28108594,0,1188
384,28,0.0,72.644035,1182,14
385,0,0.0,23.557098,0,1217
386,18,0.0,49.62557,1039,121
387,7,0.0,130.53079,1202,13
388,49,0.0,6.7370296,0,1184
389,27,0.0,38.985386,0,1199
390,11,0.0,25.845419,1156,66
391,24,0.0,7.0830536,761,454
392,31,0.0,149.60655,1191,9
393,42,0.0,47.76009,1175,4
394,37,0.0,121.49765,1236,19
395,39,0.0,15.400141,0,1196
396,41,0.0,148.62381,1198,16
397,1,0.0,125.03838,1062,170
398,39,0.0,116.483536,1231,14
399,7,0.0,127.23001,1184,11
400,21,0.0,20.54607,12,1232
401,9,0.0,2.3796573,24,1217
402,34,0.0,11.865194,0,1194
403,49,0.0,12.2691965,0,1161
404,5,0.0,88.369194,33,1189
405,46,0.0,16.37448,0,1202
406,13,0.0,9.455161,0,1239
407,24,0.0,8.131466,1122,71
408,2,0.0,106.784,1182,12
409,29,0.0,14.361249,1165,27
410,0,0.0,20.58932,0,1168
411,24,0.0,2.9773326,0,1205
412,47,0.0,7.6901875,0,1234
413,27,0.0,149.64023,1178,10
414,3,0.0,133.28598,1212,26
415,19,0.0,56.56109,0,1197
416,7,0.0,21.468323,0,1197
417,44,0.0,19.589853,0,1168
418,8,0.0,94.08002,1190,9
419,17,0.0,124.19488,1175,3
420,11,0.0,7.6366663,0,1223
421,20,0.0,72.34435,36,1169
422,0,0.0,32.477943,11,1174
423,20,0.0,44.0102,0,1224
424,43,0.0,74.44098,1149,70
425,9,0.0,1.3145195,0,1196
426,44,0.0,36.47963,0,1210
427,25,0.0,1.4965255,1146,76
428,28,0.0,76.10757,1191,10
429,11,0.0,22.366756,275,914
430,22,0.0,214.08885,1174,18
431,23,0.0,26.350464,0,1190
432,0,0.0,12.472081,0,1187
433,4,0.0,241.6898,1193,8
434,47,0.0,171.77928,1184,10
435,39,0.0,88.42583,1113,65
436,25,0.0,0.20919856,0,1200
437,36,0.0,76.57795,1143,21
438,48,0.0,4.8897514,0,1227
439,39,0.0,39.4147,0,1196
440,7,0.0,82.49008,980,201
441,5,0.0,111.39878,1016,165
442,6,0.0,219.25311,1218,11
443,40,0.0,105.85686,1133,56
444,39,0.0,31.940962,0,1228
445,43,0.0,51.16641,27,1188
446,23,0.0,14.35179,0,1138
447,45,0.0,90.71282,28,1203
448,29,0.0,8.947051,24,1192
449,41,0.0,30.536201,0,1172
450,7,0.0,73.92966,38,1170
451,13,0.0,36.58037,23,1135
452,4,0.0,171.06984,1190,20
453,31,0.0,135.59169,1165,26
454,25,0.0,1.2150024,0,1180
455,3,0.0,171.16602,1194,12
456,28,0.0,62.92193,1167,21
457,32,0.0,115.51007,863,314
458,44,0.0,47.728954,15,1165
459,34,0.0,49.510906,1202,19
460,42,0.0,1.0694788,0,1189
461,14,0.0,219.88365,1193,9
462,4,0.0,222.9234,1187,10
463,35,0.0,10.777605,21,1153
464,11,0.0,8.546726,0,1177
465,26,0.0,9.482614,0,1201
466,30,0.0,107.807686,1201,8
467,14,0.0,53.103,0,1196
468,20,0.0,0.00491905,0,1222
469,30,0.0,77.600006,1133,62
470,42,0.0,12.263739,0,1233
471,41,0.0,97.24874,1118,120
472,31,0.0,137.06216,1173,19
473,30,0.0,24.95463,0,1161
474,19,0.0,131.5098,1123,65
475,38,0.0,78.98767,42,1168
476,12,0.0,185.16367,1147,11
477,40,0.0,48.506226,0,1183
478,11,0.0,23.895864,967,227
479,5,0.0,206.06178,1181,7
480,41,0.0,107.60511,1102,62
481,12,0.0,23.022154,0,1176
482,19,0.0,189.83997,1179,16
483,2,0.0,104.5458,1180,14
484,40,0.0,23.058685,0,1208
485,9,0.0,0.79543906,0,1169
486,43,0.0,50.81884,35,1171
487,32,0.0,113.15361,652,537
488,46,0.0,18.927286,0,1231
489,20,0.0,145.25887,1199,9
490,36,0.0,0.094701834,0,1192
491,40,0.0,21.51847,0,1190
492,48,0.0,147.62172,1194,20
493,0,0.0,31.053522,2,1201
494,10,0.0,8.779736,1,1229
495,13,0.0,92.23876,1201,11
496,48,0.0,6.382628,0,1175
497,15,0.0,22.540298,0,1218
498,46,0.0,41.110027,1176,21
499,2,0.0,34.947346,0,1193
500,22,0.0,238.08911,1174,6
501,15,0.0,45.89347,0,1214
502,26,0.0,34.800243,0,1170
503,29,0.0,8.0994425,13,1217
504,1,0.0,6.387404,0,1200
505,13,0.0,6.88752,0,1216
506,1,0.0,26.571772,0,1189
507,37,0.0,10.014279,0,1197
508,42,0.0,41.12712,1180,17
509,45,0.0,204.57318,1171,13
510,31,0.0,169.08223,1206,15
511,48,0.0,127.60763,1129,56
512,6,0.0,43.454147,0,1210
513,10,0.0,4.3794656,0,1184
514,3,0.0,131.58636,1220,26
515,45,0.0,32.444534,0,1162
516,18,0.0,83.222084,1217,0
517,9,0.0,0.14534503,0,1217
518,17,0.0,100.87424,1184,13
519,38,0.0,162.90364,1142,7
520,14,0.0,65.270775,0,1220
